W_50 [mm],Freq [GHz],"dB(S(1,1)) []","dB(S(2,1)) []",im(Gamma(1:1)) [],re(Gamma(1:1)) [],re(Zo(1:1)) [],"ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.5,57,-16.54355316,-6.672636328,1870.831481,5.502480734,167.13884,-173.305384,-131.5161081
0.5,57.05,-16.60685595,-6.707679753,1873.208615,5.505194584,167.0849672,-176.1445587,-133.0308647
0.5,57.1,-16.66299555,-6.746021655,1875.584834,5.507912834,167.0313433,-179.0080029,-134.4803762
0.5,57.15,-16.71247518,-6.785737349,1877.96014,5.510635462,166.977967,178.106995,-135.8597299
0.5,57.2,-16.755883,-6.824670508,1880.334538,5.513362446,166.9248369,175.2030147,-137.1664397
0.5,57.25,-16.79389949,-6.860512379,1882.708031,5.516093764,166.8719519,172.2825031,-138.4009296
0.5,57.3,-16.82730754,-6.890905555,1885.080622,5.518829392,166.8193106,169.3477945,-139.5668861
0.5,57.35,-16.85700618,-6.913566546,1887.452314,5.52156931,166.7669116,166.4011646,-140.6714218
0.5,57.4,-16.88402888,-6.926417648,1889.823112,5.524313495,166.7147538,163.4449365,-141.7250022
0.5,57.45,-16.90956722,-6.927715738,1892.193018,5.527061926,166.6628358,160.4816694,-142.7411136
0.5,57.5,-16.93499894,-6.916164364,1894.562035,5.529814582,166.6111564,157.5144793,-143.7356838
0.5,57.55,-16.96191643,-6.890996659,1896.930168,5.53257144,166.5597144,154.5475674,-144.7263008
0.5,57.6,-16.99214312,-6.852020058,1899.29742,5.535332481,166.5085084,151.5870677,-145.7313074
0.5,57.65,-17.02770814,-6.79961909,1901.663794,5.538097682,166.4575373,148.6423515,-146.7688645
0.5,57.7,-17.07071612,-6.73471838,1904.029292,5.540867023,166.4067999,145.7278896,-147.8560797
0.5,57.75,-17.1229965,-6.658713179,1906.39392,5.543640484,166.3562949,142.8655229,-149.008278
0.5,57.8,-17.18536489,-6.573378102,1908.757679,5.546418043,166.3060211,140.0862091,-150.2384648
0.5,57.85,-17.25638537,-6.480765852,1911.120573,5.549199681,166.2559773,137.4286645,-151.5570007
0.5,57.9,-17.33093491,-6.383106718,1913.482605,5.551985377,166.2061623,134.9303633,-152.9714742
0.5,57.95,-17.39982577,-6.282717154,1915.843779,5.55477511,166.156575,132.6077758,-154.4867412
0.5,58,-17.45241605,-6.181922691,1918.204097,5.557568861,166.1072142,130.433591,-156.1050876
0.5,58.05,-17.48226508,-6.08299745,1920.563564,5.56036661,166.0580787,128.3338645,-157.8264675
0.5,58.1,-17.49164522,-5.988120123,1922.922181,5.563168338,166.0091673,126.2200374,-159.6487793
0.5,58.15,-17.49039938,-5.899344687,1925.279953,5.565974024,165.9604789,124.0331189,-161.5681438
0.5,58.2,-17.4905968,-5.818583252,1927.636882,5.568783649,165.9120124,121.7628903,-163.5791646
0.5,58.25,-17.50204286,-5.747598162,1929.992971,5.571597193,165.8637666,119.4368276,-165.6751543
0.5,58.3,-17.53089034,-5.688000585,1932.348224,5.574414639,165.8157404,117.0998286,-167.8483193
0.5,58.35,-17.58025757,-5.641253143,1934.702644,5.577235966,165.7679327,114.8005901,-170.0899012
0.5,58.4,-17.65126325,-5.608674485,1937.056233,5.580061155,165.7203423,112.5867919,-172.3902739
0.5,58.45,-17.74371157,-5.591444016,1939.408995,5.582890188,165.6729682,110.5055072,-174.7389976
0.5,58.5,-17.85628144,-5.590605128,1941.760933,5.585723047,165.6258093,108.6054912,-177.1248324
0.5,58.55,-17.98627732,-5.607065314,1944.11205,5.588559712,165.5788645,106.939422,-179.5357132
0.5,58.6,-18.12900912,-5.641591308,1946.462349,5.591400165,165.5321326,105.5649276,178.041312
0.5,58.65,-18.27685517,-5.694796998,1948.811832,5.594244388,165.4856127,104.5432475,175.6201765
0.5,58.7,-18.41811612,-5.767121329,1951.160504,5.597092363,165.4393037,103.9339382,173.2159147
0.5,58.75,-18.53594792,-5.858792703,1953.508366,5.599944071,165.3932045,103.7836384,170.8447942
0.5,58.8,-18.60799853,-5.969775783,1955.855422,5.602799495,165.347314,104.1074659,168.5244375
0.5,58.85,-18.60775188,-6.099696376,1958.201674,5.605658617,165.3016312,104.8646196,166.2738922
0.5,58.9,-18.50857648,-6.247740667,1960.547127,5.608521419,165.2561551,105.9361252,164.113588
0.5,58.95,-18.29041449,-6.412527569,1962.891781,5.611387883,165.2108846,107.1196562,162.0650868
0.5,59,-17.94687415,-6.591958488,1965.235641,5.614257993,165.1658188,108.1553437,160.1504995
0.5,59.05,-17.48888738,-6.783059037,1967.57871,5.617131731,165.1209566,108.7804621,158.3914141
0.5,59.1,-16.94240942,-6.981843252,1969.920989,5.620009079,165.0762969,108.7892918,156.8071841
0.5,59.15,-16.34139557,-7.183251859,1972.262483,5.622890021,165.0318389,108.0694999,155.41249
0.5,59.2,-15.71989277,-7.381236556,1974.603193,5.625774539,164.9875814,106.6039352,154.2142621
0.5,59.25,-15.10644114,-7.569069267,1976.943123,5.628662618,164.9435236,104.447651,153.2083618
0.5,59.3,-14.52168494,-7.739929579,1979.282275,5.631554238,164.8996644,101.6970883,152.376823
0.5,59.35,-13.97843948,-7.887748565,1981.620653,5.634449386,164.8560028,98.46334641,151.6867739
0.5,59.4,-13.48304777,-8.008169872,1983.958258,5.637348043,164.8125379,94.85393015,151.0921281
0.5,59.45,-13.03713386,-8.099377015,1986.295094,5.640250193,164.7692687,90.96261498,150.5384919
0.5,59.5,-12.63925531,-8.162506848,1988.631164,5.64315582,164.7261943,86.86532652,149.9705836
0.5,59.55,-12.28624832,-8.201474805,1990.96647,5.646064908,164.6833137,82.61983759,149.3403311
