freq,"dB(S(1,1))","dB(S(2,1))","dB(S(3,3))","dB(S(4,3))","dB(S(5,5))","dB(S(6,5))","dB(S(7,7))","dB(S(8,7))","dB(S(9,9))","dB(S(10,9))","dB(S(11,11))","dB(S(12,11))"
6.25E+10,-12.17177581,-1.761756743,-11.02157324,-1.781140466,-13.76386411,-1.472918087,-17.71272748,-1.251224828,-17.26166339,-1.2585004,-36.82608764,-1.071860661
6.26E+10,-12.50448374,-1.740331348,-10.81158841,-1.813472722,-13.37849277,-1.472582398,-17.40598995,-1.261151535,-17.05841423,-1.265134871,-33.41801301,-1.075649399
6.27E+10,-12.87214574,-1.763823312,-10.61101335,-1.849581795,-13.05084593,-1.493889584,-17.09958794,-1.272790946,-16.86252855,-1.271299944,-30.62340041,-1.081216789
6.28E+10,-13.82617333,-1.737566076,-10.4212202,-1.888685996,-12.76657721,-1.534837155,-16.7918566,-1.286303475,-16.67358767,-1.277040644,-28.30912673,-1.088226486
6.29E+10,-15.05986301,-1.656612376,-10.24315856,-1.929951928,-12.51412334,-1.58827076,-16.4811676,-1.301811739,-16.49120674,-1.282396809,-26.49657374,-1.096407376
6.30E+10,-17.72444413,-1.548388483,-10.07739521,-1.972515764,-12.28506894,-1.6455974,-16.16607664,-1.319391682,-16.31503126,-1.287403754,-25.19947272,-1.105536126
6.31E+10,-19.15797379,-1.572367955,-9.924153534,-2.015501814,-12.073506,-1.699875881,-15.84551962,-1.339063315,-16.14473391,-1.292092847,-24.31501572,-1.115422115
6.32E+10,-19.74735571,-1.443469298,-9.783354256,-2.058038409,-11.87533271,-1.746901982,-15.51903735,-1.360781267,-15.98001185,-1.296492007,-23.67148913,-1.125896087
6.33E+10,-18.03013523,-1.351445612,-9.654658094,-2.099271251,-11.68771019,-1.784849731,-15.1869918,-1.384425401,-15.82058436,-1.300626137,-23.12917716,-1.136802171
6.34E+10,-16.1310482,-1.329801402,-9.537509961,-2.138374439,-11.50868217,-1.813457268,-14.85072368,-1.409791816,-15.66619068,-1.304517497,-22.61274459,-1.147992473
6.35E+10,-14.56001025,-1.375939753,-9.431183592,-2.174559444,-11.33691774,-1.833317105,-14.51260259,-1.436584631,-15.51658819,-1.308186031,-22.09305265,-1.159323555
6.36E+10,-12.9375145,-1.294638492,-9.3348252,-2.207082342,-11.17153851,-1.84541419,-14.17593859,-1.464409025,-15.37155078,-1.311649641,-21.56394291,-1.170654277
6.37E+10,-12.44208578,-1.30040801,-9.247494667,-2.235249629,-11.01200173,-1.850872093,-13.84475728,-1.492766082,-15.23086735,-1.314924437,-21.02825772,-1.181844592
6.38E+10,-12.08378524,-1.29633875,-9.168203001,-2.258422943,-10.85802004,-1.850831895,-13.52347582,-1.521050046,-15.09434054,-1.318024942,-20.49143433,-1.192755036
6.39E+10,-11.98952207,-1.1958723,-9.095945114,-2.276023031,-10.70950509,-1.846404106,-13.21654116,-1.54854868,-14.96178554,-1.320964277,-19.95906636,-1.203246724
6.40E+10,-12.3839146,-1.286661899,-9.029727371,-2.287533243,-10.56652679,-1.838656456,-12.92809552,-1.574447407,-14.83302907,-1.323754321,-19.43618878,-1.213181695
6.41E+10,-14.1851944,-1.332653044,-8.968589769,-2.292502853,-10.42928283,-1.828616983,-12.66171782,-1.597837954,-14.70790841,-1.32640585,-18.92721423,-1.222423532
6.42E+10,-16.77992056,-1.314340807,-8.911622916,-2.29055045,-10.29807468,-1.817281922,-12.42026392,-1.617732138,-14.58627062,-1.328928656,-18.43606598,-1.230838165
6.43E+10,-20.30671966,-1.503102241,-8.85798023,-2.281367653,-10.17328777,-1.805623369,-12.20580296,-1.633081318,-14.4679717,-1.331331655,-17.96633062,-1.238294815
6.44E+10,-24.18933494,-1.556616518,-8.806885962,-2.264723345,-10.05537423,-1.794594556,-12.01963084,-1.642801864,-14.35287596,-1.333622982,-17.52136816,-1.244667027
6.45E+10,-18.05729863,-1.643217711,-8.757639695,-2.240468622,-9.944836871,-1.785131959,-11.86233511,-1.645806663,-14.2408554,-1.335810068,-17.10436268,-1.249833765
6.46E+10,-14.65017159,-1.720090846,-8.709617998,-2.208542617,-9.842213892,-1.778154131,-11.73388749,-1.64104234,-14.1317891,-1.337899716,-16.71831364,-1.253680529
6.47E+10,-11.63854167,-1.914629708,-8.662273886,-2.168979346,-9.748063731,-1.774557501,-11.63374604,-1.6275314,-14.02556274,-1.339898165,-16.36597633,-1.256100484
6.48E+10,-9.389576383,-1.988581735,-8.615134662,-2.121915651,-9.662949847,-1.77520951,-11.56095556,-1.604417986,-13.92206814,-1.341811142,-16.04976402,-1.256995561
6.49E+10,-7.425099608,-2.120042749,-8.567798627,-2.067600321,-9.587425423,-1.780939606,-11.51424019,-1.571015455,-13.82120279,-1.343643915,-15.77162897,-1.256277527
6.50E+10,-6.277253035,-2.255428828,-8.519931098,-2.006404354,-9.522018124,-1.792528646,-11.49208612,-1.526853522,-13.72286953,-1.34540134,-15.53294213,-1.253868995
