"W_50 [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1)) []","re(Gamma(1)) []","re(Zo(1)) []","ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.5,57,-25.8361635431618,-7.32422423606814,1945.75325486783,5.36390241600842,261.47730372408,143.474463890792,-140.517821169485
0.5,57.05,-26.5484951858776,-7.29580318664693,1948.08562367256,5.36678505533786,261.393834801562,139.31735131176,-142.57128474318
0.5,57.1,-27.3260210601737,-7.27295025682517,1950.41724503547,5.36967105212852,261.310666689772,134.621751926564,-144.632486395258
0.5,57.15,-28.1730580782952,-7.2558775369401,1952.74812163453,5.37256039024774,261.227797857257,129.220251091502,-146.698319035032
0.5,57.2,-29.089613350043,-7.24476549329947,1955.07825613407,5.37545305366938,261.145226782827,122.880225061568,-148.765382779722
0.5,57.25,-30.0652974304176,-7.23975599053123,1957.4076511849,5.37834902647289,261.062951955464,115.28321898938,-150.829985360623
0.5,57.3,-31.0673768952512,-7.24094466536561,1959.73630942438,5.38124829284243,260.980971874243,106.017307877664,-152.888147540998
0.5,57.35,-32.0207355628246,-7.24837265216135,1962.06423347651,5.38415083706596,260.899285048245,94.630185691804,-154.935614595694
0.5,57.4,-32.7864710715836,-7.26201767559818,1964.39142595205,5.38705664353441,260.817889996472,80.8438483759638,-156.967875088492
0.5,57.45,-33.1737694541447,-7.28178454896975,1966.71788944857,5.38996569674077,260.736785247768,64.9933370558809,-158.980188406949
0.5,57.5,-33.034011610626,-7.30749515129724,1969.04362655056,5.39287798127925,260.655969340736,48.3516897994371,-160.967622775597
0.5,57.55,-32.3819251450121,-7.33887800804889,1971.3686398295,5.39579348184445,260.575440823653,32.6360657335254,-162.925105758129
0.5,57.6,-31.3823784121855,-7.37555767466428,1973.69293184396,5.39871218323052,260.495198254397,18.982124006293,-164.847489556306
0.5,57.65,-30.2228607596348,-7.41704422609991,1976.01650513969,5.40163407033031,260.415240200363,7.59866031139835,-166.729633676944
0.5,57.7,-29.032714323104,-7.46272329582957,1978.33936224968,5.40455912813458,260.335565238384,-1.84335436332794,-168.566507701661
0.5,57.75,-27.879988707663,-7.51184728902905,1980.66150569427,5.40748734173119,260.256171954657,-9.7994883710593,-170.353316856089
0.5,57.8,-26.7939763231368,-7.56352861772981,1982.98293798123,5.41041869630427,260.177058944662,-16.6694429893068,-172.085652696631
