W_50 [mm],Freq [GHz],"dB(S(1,1)) []","dB(S(2,1)) []",im(Gamma(1:1)) [],re(Gamma(1:1)) [],re(Zo(1:1)) [],"ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.5,57,-21.07162095,-2.095068449,1864.573452,5.543257235,101.9857219,-147.5719491,60.53525554
0.5,57.05,-21.01047872,-2.087051247,1866.943759,5.546007046,101.9505078,-151.7141989,58.88965075
0.5,57.1,-20.94577003,-2.079726181,1869.313159,5.548761266,101.9154474,-155.9415099,57.23594435
0.5,57.15,-20.87719535,-2.073219297,1871.681656,5.551519872,101.8805398,-160.2517573,55.5743556
0.5,57.2,-20.80448183,-2.067658031,1874.049253,5.554282842,101.8457842,-164.6424904,53.90512535
0.5,57.25,-20.72739302,-2.063169882,1876.415953,5.557050155,101.8111798,-169.110965,52.22851077
0.5,57.3,-20.6457392,-2.059880772,1878.781761,5.559821788,101.7767259,-173.6541913,50.54477343
0.5,57.35,-20.55938797,-2.057913188,1881.146679,5.562597719,101.7424215,-178.2690007,48.85415596
0.5,57.4,-20.46827578,-2.057384639,1883.51071,5.565377928,101.708266,177.0478633,47.15683916
0.5,57.45,-20.37242125,-2.058407825,1885.873859,5.568162392,101.6742585,172.299625,45.45286656
0.5,57.5,-20.271943,-2.061096278,1888.236129,5.57095109,101.6403982,167.4893214,43.74201783
0.5,57.55,-20.16708699,-2.065584391,1890.597522,5.573744002,101.6066844,162.6196107,42.02361181
0.5,57.6,-20.05827243,-2.07208152,1892.958043,5.576541105,101.5731163,157.6925675,40.29625215
0.5,57.65,-19.94616952,-2.080995901,1895.317694,5.57934238,101.5396931,152.7095408,38.55767664
0.5,57.7,-19.83182111,-2.093162349,1897.676479,5.582147806,101.5064141,147.6712758,36.80531843
0.5,57.75,-19.71679766,-2.110083302,1900.034402,5.584957362,101.4732785,142.5786896,35.03894216
0.5,57.8,-19.60330511,-2.133691411,1902.391464,5.587771027,101.4402856,137.4347879,33.26608481
0.5,57.85,-19.4940522,-2.164984809,1904.747671,5.590588782,101.4074346,132.2477013,31.50494508
0.5,57.9,-19.39166997,-2.202600456,1907.103024,5.593410607,101.3747248,127.0331819,29.7746353
0.5,57.95,-19.29782184,-2.243823708,1909.457528,5.596236481,101.3421554,121.8133478,28.08067019
