"W_50 [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1)) []","re(Gamma(1)) []","re(Zo(1)) []","ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.5,57,-30.0023011221237,-4.14678584133552,2101.13125243359,5.00081080870499,61.4918558675578,-148.138322742492,113.281777450738
0.5,57.05,-29.4813745084858,-4.2290504414079,2103.28690624941,5.00460555427555,61.4841981032802,-156.218841894025,111.784482731718
0.5,57.1,-28.9941311222564,-4.308730113502,2105.44227008526,5.00840078903736,61.4765558784033,-164.490550672108,110.407619452359
0.5,57.15,-28.5462118330558,-4.38191439067903,2107.59734477448,5.01219651139158,61.4689291199768,-172.953376113827,109.143536949724
0.5,57.2,-28.1426528720475,-4.44509141384446,2109.7521311471,5.01599271974698,61.4613177554667,178.402336348069,107.978879746212
0.5,57.25,-27.7875050350173,-4.49535328446462,2111.90663002988,5.01978941251994,61.4537217127521,169.595784075423,106.895551617434
0.5,57.3,-27.4834390256754,-4.53054397492962,2114.0608422463,5.02358658813434,61.446140920123,160.654651628168,105.872001344558
0.5,57.35,-27.231408895888,-4.54933991896107,2116.21476861658,5.02738424502155,61.4385753062767,151.613028036835,104.884676362555
0.5,57.4,-27.0304456744002,-4.551262876059,2118.36840995771,5.03118238162041,61.4310248003157,142.508527589651,103.909486814327
0.5,57.45,-26.8776312473231,-4.53663297198944,2120.52176708347,5.0349809963771,61.4234893317444,133.3790648441,102.92314350186
0.5,57.5,-26.7682635261388,-4.50647557565827,2122.67484080444,5.03878008774519,61.4159688304667,124.259840972269,101.904271704787
0.5,57.55,-26.6961817658171,-4.46239823088776,2124.82763192799,5.04257965418554,61.4084632267829,115.181041047384,100.834248692458
0.5,57.6,-26.6541910505969,-4.40645338935959,2126.98014125834,5.04637969416624,61.4009724513874,106.166543836709,99.6977558928838
0.5,57.65,-26.6345162720113,-4.34099999981612,2129.13236959656,5.05018020616263,61.3934964353658,97.2336892935109,98.4830696748561
0.5,57.7,-26.6292269799799,-4.26857320589015,2131.28431774057,5.05398118865719,61.386035110192,88.3939268740316,97.1821341615874
0.5,57.75,-26.6305964929976,-4.19176753756496,2133.43598648517,5.05778264013952,61.3785884077259,79.6540379905638,95.7904659247174
0.5,57.8,-26.6313814006313,-4.11313579479508,2135.58737662205,5.06158455910631,61.3711562602107,71.017596917026,94.3069369562717
0.5,57.85,-26.6250241886265,-4.03510367799118,2137.73848893983,5.06538694406129,61.3637386002703,62.4863799154244,92.7334732088018
0.5,57.9,-26.6057900063315,-3.95989914175817,2139.88932422402,5.06918979351515,61.3563353609063,54.0615153166503,91.0746952210194
0.5,57.95,-26.5688499973821,-3.88949522894888,2142.03988325711,5.07299310598556,61.348946475496,45.744257771686,89.3375178854618
0.5,58,-26.5103211195907,-3.8255654645636,2144.1901668185,5.07679687999709,61.3415718777898,37.5363504558722,87.530719961743
0.5,58.05,-26.4272689262508,-3.7694514225897,2146.34017568462,5.08060111408117,61.3342115019081,29.4400023321374,85.6644909853106
0.5,58.1,-26.3176773800335,-3.72214254618938,2148.48991062882,5.08440580677604,61.3268652823395,21.4575516935805,83.7499633144512
