"S_width [mm]","T_sub [mm]","W_50 [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1:1)) []","re(Gamma(1:1)) []","re(Zo(1:1)) []","ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.1,0.254,0.5,37,-36.4864440285093,-0.389278111991565,1180.22945521371,3.59290499992772,50.7594323284017,10.1355191208263,-107.083096463583
0.1,0.254,0.5,37.05,-36.8277495470802,-0.390143787730025,1181.91104362284,3.59730888420425,50.7596823506468,9.08028272407744,-108.202740522033
0.1,0.254,0.5,37.1,-37.1869532716264,-0.390937159568296,1183.59306809935,3.60171503747894,50.759937844881,8.05188263703163,-109.324684752627
0.1,0.254,0.5,37.15,-37.5653360497517,-0.391662157455995,1185.27552984666,3.60612346784871,50.7601989437942,7.05527581290411,-110.448822265287
0.1,0.254,0.5,37.2,-37.9643378884171,-0.39232272960809,1186.9584300701,3.6105341834212,50.7604657774569,6.09620860414358,-111.575046468818
0.1,0.254,0.5,37.25,-38.385586653068,-0.392922835463217,1188.6417699769,3.61494719231398,50.760738471659,5.18140718102426,-112.703251199201
0.1,0.254,0.5,37.3,-38.8309328170553,-0.393466438536127,1190.32555077621,3.61936250265372,50.7610171458316,4.31882731832813,-113.83333084877
0.1,0.254,0.5,37.35,-39.3024916403643,-0.393957499181688,1192.00977367911,3.62378012257542,50.7613019104492,3.51798551445033,-114.96518049608
0.1,0.254,0.5,37.4,-39.8026944318167,-0.394399967288269,1193.6944398986,3.62820006022154,50.7615928637827,2.79040298870825,-116.098696036244
0.1,0.254,0.5,37.45,-40.3343508012122,-0.394797774918283,1195.37955064957,3.63262232374126,50.7618900878367,2.1502085419557,-117.233774311544
0.1,0.254,0.5,37.5,-40.9007239223136,-0.395154828913722,1197.06510714887,3.63704692128959,50.7621936432614,1.61496836416425,-118.370313242101
0.1,0.254,0.5,37.55,-41.5056205356089,-0.395475003484385,1198.75111061528,3.64147386102663,50.76250356297,1.20684522396907,-119.508211956407
0.1,0.254,0.5,37.6,-42.1534961147168,-0.395762132796267,1200.43756226948,3.64590315111667,50.7628198441158,0.954243687104792,-120.647370921517
