"W_50 [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1:1)) []","re(Gamma(1:1)) []","re(Zo(1:1)) []","ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.5,57,-8.97823868900224,-8.1280154051015,2020.31597250278,4.67249584297041,37.3632597420202,-121.829935045665,-106.251678160894
0.5,57.05,-9.30813035151896,-7.93568722567215,2022.36491468667,4.67607054404357,37.3606743270418,-124.521181489999,-107.981160956717
0.5,57.1,-9.64980142741578,-7.74812644148321,2024.41362538411,4.67964639393128,37.3581053691754,-127.162287678014,-109.80015633234
0.5,57.15,-10.0027066896191,-7.56693211255179,2026.46210540956,4.68322339015479,37.3555528089511,-129.755731630692,-111.709371980371
0.5,57.2,-10.3664295415084,-7.39384996563415,2028.51035557414,4.68680153024791,37.3530165872163,-132.304126127533,-113.707746920645
0.5,57.25,-10.7406776072663,-7.23072513941007,2030.55837668567,4.69038081175699,37.3504966451337,-134.809889556598,-115.79202867493
0.5,57.3,-11.1252665411688,-7.0794295560484,2032.60616954868,4.69396123224076,37.347992924179,-137.274826758272,-117.956388916819
0.5,57.35,-11.5200834651785,-6.94176248973212,2034.65373496438,4.69754278927032,37.3455053661391,-139.699577474811,-120.192144176895
0.5,57.4,-11.9250131348321,-6.81932708178878,2036.70107373074,4.70112548042899,37.34303391311,-142.082881074323,-122.487661628914
0.5,57.45,-12.3397946797237,-6.71339130529388,2038.74818664249,4.70470930331229,37.3405785074946,-144.42061562727,-124.828531280384
0.5,57.5,-12.7637499120787,-6.62474832411623,2040.79507449111,4.70829425552781,37.338139092001,-146.704641298625,-127.198067719701
0.5,57.55,-13.1952815674898,-6.55359664951774,2042.84173806488,4.71188033469514,37.33571560964,-148.921727707317,-129.578162786011
0.5,57.6,-13.6309898184921,-6.49946282092893,2044.88817814887,4.71546753844581,37.3333080037239,-151.053539842825,-131.950447983805
0.5,57.65,-14.0642638019255,-6.46118665410476,2046.93439552497,4.71905586442318,37.3309162178638,-153.080289346272,-134.297654244988
0.5,57.7,-14.4835132799832,-6.43698078906543,2048.98039097193,4.72264531028238,37.3285401959679,-154.993598393273,-136.604996337638
0.5,57.75,-14.8713662966433,-6.42456364349431,2051.02616526533,4.72623587369023,37.3261798822398,-156.826323070312,-138.861380547174
0.5,57.8,-15.2084527992367,-6.42135104975531,2053.07171917762,4.72982755232514,37.3238352211763,-158.697997081588,-141.060250275621
0.5,57.85,-15.4857417486268,-6.42468069141757,2055.11705347813,4.73342034387708,37.3215061575655,-160.837038831334,-143.199943744825
0.5,57.9,-15.7196553341237,-6.43203806294059,2057.16216893312,4.73701424604746,37.3191926364852,-163.504647223516,-145.283525235749
0.5,57.95,-15.9498542703237,-6.4412542138239,2059.20706630573,4.74060925654911,37.3168946033007,-166.831595430063,-147.318142047845
0.5,58,-16.2140358139275,-6.4506529493292,2061.25174635607,4.74420537310621,37.314612003663,-170.743035538621,-149.31403051537
0.5,58.05,-16.5270906927704,-6.45913583554282,2063.29620984116,4.74780259345451,37.3123447835072,-175.059515752814,-151.283331795626
0.5,58.1,-16.8827291934062,-6.46620427621099,2065.34045751501,4.75140091534282,37.3100928890503,-179.631163004792,-153.238879484724
