"W_50 [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1)) []","re(Gamma(1)) []","re(Zo(1)) []","ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.5,57,-16.9492880885723,-4.7683081734328,1226.75123758047,1.35182576762261,130.971844351505,100.398697289434,-164.374564325404
0.5,57.05,-17.0244729628177,-4.72113261319259,1228.41628978127,1.35651544651139,130.756322953698,98.8711165025178,-165.45657616153
0.5,57.1,-17.0959545741664,-4.67345158412074,1230.08213775982,1.3612208701024,130.540597070606,97.2919856814203,-166.564265703719
0.5,57.15,-17.1635803786294,-4.62577828145748,1231.74878497849,1.36594205669399,130.325266387235,95.6624592433163,-167.699985849596
0.5,57.2,-17.2272174435318,-4.57873907173273,1233.41623488702,1.37067902427063,130.110330133539,93.9837806923714,-168.865532941341
0.5,57.25,-17.2867543322837,-4.53305937456878,1235.0844909224,1.37543179050017,129.895788218924,92.2572786712235,-170.061908556963
0.5,57.3,-17.3421031129133,-4.48953689739441,1236.75355650884,1.38020037273104,129.681640668209,90.4843622703043,-171.28909515974
0.5,57.35,-17.3932015182786,-4.44900230146527,1238.42343505767,1.38498478798945,129.467887541346,88.6665156810084,-172.54587862297
0.5,57.4,-17.4400153058777,-4.41226963007507,1240.0941299673,1.38978505297662,129.25452891332,86.8052923551753,-173.829751810538
0.5,57.45,-17.4825408952648,-4.38008121898397,1241.76564462312,1.39460118406607,129.041564867385,84.9023089399699,-175.136926999391
0.5,57.5,-17.5208084060073,-4.3530536836111,1243.43798239746,1.3994331973008,128.828995492305,82.9592394128939,-176.462470525469
0.5,57.55,-17.5548852863502,-4.33163227196559,1245.11114664948,1.40428110839065,128.616820881042,80.9778100804461,-177.800552854215
0.5,57.6,-17.5848808242156,-4.31605998107069,1246.78514072514,1.40914493270953,128.405041130053,78.9597964882905,-179.144786074829
0.5,57.65,-17.6109519873037,-4.30636543209424,1248.45996795709,1.41402468529271,128.193656338863,76.9070239370901,179.511395568584
0.5,57.7,-17.6333112800259,-4.30237017041411,1250.13563166463,1.41892038083416,127.982666609786,74.8213744280438,178.174363352994
0.5,57.75,-17.6522376856905,-4.30371269378324,1251.81213515363,1.42383203368388,127.772072047704,72.7048049093006,176.849976840813
0.5,57.8,-17.668092373658,-4.30988396963486,1253.48948171642,1.42875965784522,127.56187275991,70.5593855332862,175.543354933707
0.5,57.85,-17.681341845707,-4.32026798914266,1255.16767463177,1.43370326697226,127.352068855958,68.3873740911782,174.258749894693
0.5,57.9,-17.6925928221724,-4.33418105353723,1256.84671716479,1.43866287436716,127.142660447537,66.1913578233931,172.999520723268
0.5,57.95,-17.7026457924994,-4.35090464015076,1258.52661256685,1.44363849297758,126.933647648355,63.9745253631654,171.768187990329
0.5,58,-17.7125781359139,-4.36970832128548,1260.20736407551,1.44863013539407,126.725030574025,61.7412007885227,170.56654349818
0.5,58.05,-17.7238725051229,-4.38986083179071,1261.88897491446,1.45363781384753,126.51680934196,59.4979307749423,169.395784241528
0.5,58.1,-17.7386057228825,-4.41062873418244,1263.57144829343,1.45866154020659,126.308984071271,57.2557981062003,168.256638966939
0.5,58.15,-17.7596746466195,-4.43126322705294,1265.2547874081,1.46370132597513,126.101554882665,55.0355854412934,167.149454518657
0.5,58.2,-17.7907967344659,-4.4509768026502,1266.93899544006,1.46875718228978,125.894521898344,52.8797502061037,166.074205900499
0.5,58.25,-17.8348306329122,-4.46891332641518,1268.62407555672,1.47382911991733,125.687885241912,50.8798321264625,165.030387861253
0.5,58.3,-17.8838129597619,-4.48411864828984,1270.31003091121,1.47891714925238,125.481645038275,49.2249709838248,164.016739450486
