W_50 [mm],Freq [GHz],"dB(S(1,1)) []","dB(S(2,1)) []",im(Gamma(1:1)) [],re(Gamma(1:1)) [],re(Zo(1:1)) [],"ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.5,57,-29.28379722,-1.676070191,2085.377484,4.7956329,75.07944511,-42.49111655,-99.00569796
0.5,57.05,-28.81514845,-1.663629763,2087.475744,4.799343563,75.07630752,-40.75019977,-100.5475302
0.5,57.1,-28.34915819,-1.651114148,2089.573773,4.803055227,75.07320102,-39.4816005,-102.0892638
0.5,57.15,-27.89362375,-1.6385586,2091.671572,4.806767889,75.07012552,-38.61770584,-103.6312339
0.5,57.2,-27.45322177,-1.626000612,2093.769142,4.810481547,75.0670809,-38.09724689,-105.1737736
0.5,57.25,-27.03047104,-1.613480046,2095.866482,4.814196198,75.06406704,-37.86723501,-106.7172135
0.5,57.3,-26.62645595,-1.601039279,2097.963595,4.817911839,75.06108384,-37.88312125,-108.2618805
0.5,57.35,-26.24134162,-1.588723349,2100.060481,4.821628468,75.05813118,-38.10811845,-109.8080973
0.5,57.4,-25.87472841,-1.576580112,2102.157139,4.825346083,75.05520896,-38.51221366,-111.3561813
0.5,57.45,-25.52589086,-1.564660405,2104.253573,4.829064681,75.05231707,-39.07114051,-112.9064432
0.5,57.5,-25.19393615,-1.553018221,2106.349781,4.832784259,75.04945539,-39.76543418,-114.4591867
0.5,57.55,-24.87790798,-1.541710885,2108.445765,4.836504815,75.04662382,-40.57961396,-116.0147063
0.5,57.6,-24.57685407,-1.530799247,2110.541526,4.840226347,75.04382226,-41.50150008,-117.573287
0.5,57.65,-24.28986968,-1.52034788,2112.637064,4.843948851,75.04105059,-42.52165448,-119.1352023
0.5,57.7,-24.01612585,-1.510425289,2114.732379,4.847672326,75.03830872,-43.63292888,-120.7007132
0.5,57.75,-23.75488785,-1.501104137,2116.827474,4.851396769,75.03559652,-44.83010268,-122.2700668
0.5,57.8,-23.50552813,-1.492461485,2118.922348,4.855122177,75.03291391,-46.10959446,-123.8434948
0.5,57.85,-23.26753619,-1.484579055,2121.017003,4.858848549,75.03026077,-47.46923281,-125.4212125
0.5,57.9,-23.04052751,-1.477543522,2123.111438,4.862575881,75.027637,-48.90807436,-127.0034178
0.5,57.95,-22.82425298,-1.471446859,2125.205655,4.866304171,75.0250425,-50.42625863,-128.5902907
0.5,58,-22.61860976,-1.466386735,2127.299654,4.870033417,75.02247715,-52.0248906,-130.1819932
0.5,58.05,-22.42365484,-1.462467025,2129.393437,4.873763617,75.01994087,-53.70594285,-131.7786712
0.5,58.1,-22.23962183,-1.459798457,2131.487003,4.877494768,75.01743355,-55.4721692,-133.3804567
0.5,58.15,-22.06694212,-1.458499509,2133.580354,4.881226867,75.01495508,-57.32702178,-134.9874744
0.5,58.2,-21.90627102,-1.458697666,2135.673491,4.884959913,75.01250537,-59.27456225,-136.5998513
0.5,58.25,-21.75851992,-1.460531284,2137.766413,4.888693903,75.01008432,-61.31935667,-138.2177348
0.5,58.3,-21.62489515,-1.464152448,2139.859122,4.892428834,75.00769182,-63.4663406,-139.8413216
0.5,58.35,-21.50694447,-1.469731506,2141.951618,4.896164705,75.00532777,-65.72063822,-141.4709076
0.5,58.4,-21.40661167,-1.47746457,2144.043903,4.899901513,75.00299208,-68.08731433,-143.1069742
0.5,58.45,-21.32629947,-1.487586405,2146.135976,4.903639255,75.00068465,-70.57103317,-144.750341
0.5,58.5,-21.26894051,-1.500393719,2148.227838,4.90737793,74.99840538,-73.17559107,-146.4024521
0.5,58.55,-21.23807477,-1.51628971,2150.319491,4.911117534,74.99615417,-75.90328297,-148.0659445
0.5,58.6,-21.23793098,-1.535875764,2152.410935,4.914858067,74.99393092,-78.75405505,-149.7458769
0.5,58.65,-21.2735071,-1.560158734,2154.50217,4.918599525,74.99173554,-81.72438818,-151.4527088
0.5,58.7,-21.35064326,-1.591081023,2156.593198,4.922341906,74.98956794,-84.80584992,-153.2107981
0.5,58.75,-21.47607763,-1.633109778,2158.684019,4.926085209,74.98742801,-87.98324555,-155.0894403
0.5,58.8,-21.65747341,-1.698531013,2160.774633,4.92982943,74.98531566,-91.23228752,-157.3779442
0.5,58.85,-21.90340287,-1.661054358,2162.865041,4.933574568,74.9832308,-94.51667878,-163.3059093
0.5,58.9,-22.22327095,-1.241427048,2164.955245,4.93732062,74.98117333,-97.7844489,-157.1486322
0.5,58.95,-22.62715361,-1.529716823,2167.045244,4.941067584,74.97914316,-100.9632602,-159.6840879
0.5,59,-23.12550331,-1.622403365,2169.135039,4.944815457,74.97714019,-103.9541657,-161.6080856
0.5,59.05,-23.72861211,-1.685450698,2171.224631,4.948564239,74.97516433,-106.6229019,-163.3471264
0.5,59.1,-24.4455664,-1.74045385,2173.314021,4.952313926,74.9732155,-108.7872456,-165.0036995
0.5,59.15,-25.28206193,-1.793329288,2175.403209,4.956064517,74.97129359,-110.1985461,-166.6102694
0.5,59.2,-26.23565977,-1.846276457,2177.492196,4.959816008,74.96939852,-110.5165851,-168.179191
