"W_50 [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1:1)) []","re(Gamma(1:1)) []","re(Zo(1:1)) []","ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.5,57,-20.2252962916759,-4.59184686919379,1880.5067067323,5.50800486786509,266.397646818513,40.9361207428341,-127.197084854906
0.5,57.05,-20.0708141107783,-4.67316470247576,1882.89281754577,5.51074526034616,266.322309468929,38.7980625834946,-128.739826568661
0.5,57.1,-19.9105799483927,-4.76917647576692,1885.27801580156,5.5134900365034,266.247361589634,36.607569919539,-130.308532376472
0.5,57.15,-19.7428937838301,-4.87964675682943,1887.66230499574,5.51623917384814,266.17280111799,34.3762727494679,-131.882434309479
0.5,57.2,-19.5660769752796,-5.00390869112575,1890.0456886054,5.5189926500523,266.098626006067,32.1325645790789,-133.43814540747
0.5,57.25,-19.3811299915328,-5.14074558340373,1892.42817008881,5.52175044294692,266.024834220509,29.9358211599588,-134.950886834517
0.5,57.3,-19.2001568636176,-5.28830064557564,1894.80975288553,5.52451253052072,265.951423742402,27.8720524553909,-136.396017741732
0.5,57.35,-19.0554987508496,-5.4440413655231,1897.19044041653,5.52727889091867,265.878392567143,25.9351401405568,-137.750759349146
0.5,57.4,-18.9693486289632,-5.60479914044259,1899.57023608439,5.53004950244059,265.805738704316,23.8421507129664,-138.995945535349
0.5,57.45,-18.9067009081073,-5.7668929578744,1901.94914327334,5.53282434353973,265.733460177558,21.3261978379271,-140.117589547201
0.5,57.5,-18.8267918040138,-5.92633015479846,1904.32716534947,5.53560339282141,265.66155502444,18.4770317855927,-141.108049250919
0.5,57.55,-18.7239955348139,-6.07906134302236,1906.7043056608,5.53838662904166,265.590021296336,15.467163304819,-141.966612962259
0.5,57.6,-18.6067121968108,-6.22125469476787,1909.08056753745,5.54117403110584,265.518857058303,12.3762707710161,-142.699411711958
0.5,57.65,-18.4825203172974,-6.34955031206962,1911.45595429175,5.54396557806734,265.44806038896,9.22320748106126,-143.318674189932
0.5,57.7,-18.3561820905869,-6.46125964811037,1913.83046921836,5.54676124912624,265.377629380365,6.00615307648551,-143.841449962858
0.5,57.75,-18.2305954048682,-6.55448659927743,1916.20411559438,5.54956102362799,265.307562137898,2.71870502817374,-144.288006707757
0.5,57.8,-18.1076594593279,-6.62816249536951,1918.57689667953,5.55236488106214,265.237856780141,-0.645327491144479,-144.680139326511
0.5,57.85,-17.9887679686015,-6.68200246449763,1920.9488157162,5.55517280106106,265.168511438762,-4.09079698610468,-145.039609565534
0.5,57.9,-17.8750639061489,-6.71640188109084,1923.31987592964,5.55798476339865,265.0995242584,-7.62110450214273,-145.386876079912
0.5,57.95,-17.76756773024,-6.73229693442837,1925.69008052801,5.56080074798912,265.030893396549,-11.2383054049713,-145.740197833586
0.5,58,-17.6672402763712,-6.7310129327807,1928.05943270257,5.56362073488571,264.962617023449,-14.9432202016525,-146.11511995377
0.5,58.05,-17.5750110150571,-6.71411942973716,1930.42793562773,5.56644470427953,264.894693321969,-18.7355064216767,-146.524295876787
0.5,58.1,-17.4917869649464,-6.68330483064964,1932.79559246123,5.56927263649826,264.827120487499,-22.6136937544024,-146.977568815847
0.5,58.15,-17.4184500695236,-6.64027674301821,1935.16240634422,5.57210451200503,264.75989672784,-26.5751947655164,-147.482227258465
0.5,58.2,-17.3558472355978,-6.58668919427295,1937.52838040136,5.57494031139719,264.693020263097,-30.6163037327535,-148.043356854609
0.5,58.25,-17.3047754934768,-6.52409441511525,1939.89351774097,5.57778001540516,264.626489325568,-34.7321940216469,-148.664227183037
0.5,58.3,-17.265963907929,-6.45391508352704,1942.25782145514,5.58062360489122,264.560302159643,-38.9169219789407,-149.346670304244
0.5,58.35,-17.2400534699799,-6.37743236602431,1944.62129461982,5.58347106084844,264.494457021696,-43.1634429690599,-150.09142476342
0.5,58.4,-17.2275759856704,-6.29578533430289,1946.98394029493,5.58632236439946,264.42895217998,-47.4636429478944,-150.898431923668
0.5,58.45,-17.2289328138862,-6.2099779935478,1949.34576152449,5.58917749679543,264.363785914526,-51.8083868716524,-151.767080807833
0.5,58.5,-17.2443741153824,-6.12089095885298,1951.70676133673,5.59203643941484,264.298956517044,-56.1875833744366,-152.696403464119
0.5,58.55,-17.2739790210863,-6.02929559137428,1954.06694274418,5.59489917376247,264.234462290815,-60.5902637082811,-153.685226036325
0.5,58.6,-17.317636801172,-5.93586907254851,1956.42630874377,5.59776568146827,264.1703015506,-65.0046721846044,-154.732282026079
0.5,58.65,-17.3750287354706,-5.84120942492623,1958.78486231699,5.60063594428628,264.106472622533,-69.4183655750403,-155.836294365568
0.5,58.7,-17.4456099942235,-5.74584988554917,1961.14260642993,5.60350994409357,264.04297384403,-73.8183203913933,-156.996032385002
0.5,58.75,-17.528590504069,-5.65027232095082,1963.49954403341,5.60638766288919,263.97980356369,-78.1910498685356,-158.210348906283
0.5,58.8,-17.6229135891655,-5.55491956494472,1965.85567806309,5.60926908279311,263.916960141199,-82.5227368990336,-159.478201739468
0.5,58.85,-17.727231256396,-5.46020668355167,1968.21101143958,5.61215418604518,263.854441947236,-86.7993950083643,-160.798662923649
0.5,58.9,-17.8398754741002,-5.36653124435545,1970.56554706853,5.61504295500413,263.792247363379,-91.0070763306968,-162.170918198059
0.5,58.95,-17.9588258306116,-5.27428270468532,1972.9192878407,5.61793537214655,263.730374782013,-95.1321526358297,-163.594258432761
0.5,59,-18.0816757062519,-5.18385104464081,1975.27223663213,5.62083142006586,263.668822606238,-99.1617013094952,-165.06806408921
0.5,59.05,-18.2056016578027,-5.0956347638808,1977.62439630419,5.62373108147135,263.607589249778,-103.084030429038,-166.591783206428
0.5,59.1,-18.3273440657594,-5.01004833908083,1979.97576970368,5.62663433918718,263.546673136891,-106.889372213396,-168.164902901974
0.5,59.15,-18.4432109072421,-4.92752920330958,1982.32635966293,5.6295411761514,263.486072702281,-110.570757670882,-169.786913923188
0.5,59.2,-18.5491199751446,-4.84854425846663,1984.67616899993,5.63245157541503,263.425786391009,-114.125052619913,-171.457267373267
0.5,59.25,-18.6406964939254,-4.77359586471197,1987.02520051838,5.63536552014104,263.365812658407,-117.554083889049,-173.175322367307
0.5,59.3,-18.7134408029881,-4.70322716230483,1989.37345700781,5.63828299360348,263.30614996999,-120.865717660586,-174.940283057096
0.5,59.35,-18.7629724265234,-4.6380264660684,1991.72094124366,5.64120397918649,263.246796801373,-124.074682978209,-176.751123230426
0.5,59.4,-18.7853413723979,-4.57863032487605,1994.06765598741,5.64412846038347,263.187751638184,-127.202888085971,-178.606496596764
0.5,59.45,-18.7773766047343,-4.52572465282679,1996.41360398662,5.64705642079617,263.129012975983,-130.278989051945,179.49536899316
0.5,59.5,-18.7370209152513,-4.48004311260609,1998.75878797505,5.64998784413439,263.070579320176,-133.337066001311,177.556794646002
0.5,59.55,-18.6635895435752,-4.44236166860405,2001.10321067279,5.6529227142221,263.012449185936,-136.414441355953,175.58079104231
0.5,59.6,-18.5578949456804,-4.41348794296657,2003.44687478591,5.65586101509554,262.95462109812,-139.54889314809,173.571214922736
0.5,59.65,-18.4222044165029,-4.39424373631,2005.78978300809,5.65880273037531,262.89709359119,-142.775696692038,171.532936867367
0.5,59.7,-18.2600343285774,-4.38543887943904,2008.13193801822,5.66174784461045,262.839865209133,-146.124992966365,169.472011494987
0.5,59.75,-18.0758213422125,-4.38783456485431,2010.47334248251,5.66469634189762,262.782934505381,-149.619900528706,167.395835341631
0.5,59.8,-17.8745339234525,-4.40209461425841,2012.81399905383,5.66764820656858,262.726300042734,-153.275593353398,165.313270275292
0.5,59.85,-17.6612905529295,-4.42872395929369,2015.15391037184,5.6706034230588,262.669960393284,-157.099338375283,163.234701870791
0.5,59.9,-17.4410367694127,-4.46799515190622,2017.49307906311,5.67356197590448,262.613914138337,-161.091303218857,161.171993973208
0.5,59.95,-17.2183101348505,-4.51986613764808,2019.83150774122,5.67652384974155,262.558159868338,-165.245850559835,159.138295033242
0.5,60,-16.9970993676647,-4.58389582842601,2022.16919900679,5.67948902930472,262.502696182797,-169.553030817474,157.147652173414
0.5,60.05,-16.7807871170797,-4.65916791196928,2024.50615544764,5.68245749942671,262.447521690238,-174.000040623793,155.214399641541
0.5,60.1,-16.5721569250064,-4.74423709990804,2026.84237963882,5.68542924503743,262.392635007977,-178.572495002411,153.352313391123
0.5,60.15,-16.3734427136287,-4.8371144026135,2029.1778741427,5.68840425116318,262.338034762388,176.744561228656,151.573564827618
0.5,60.2,-16.1864013051228,-4.9353074240238,2031.51264150907,5.69138250292585,262.283719588455,171.965917298848,149.887561210429
0.5,60.25,-16.01239273594,-5.03592660459118,2033.8466842752,5.69436398554215,262.22968812991,167.105711354317,148.299817536687
0.5,60.3,-15.8524578178818,-5.13585822398581,2036.18000496596,5.69734868432286,262.175939039111,162.177152140759,146.811047364936
