"W_50 [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1:1)) []","re(Gamma(1:1)) []","re(Zo(1:1)) []","ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.5,57,-20.4408602865305,-7.56778309337288,1883.52761997228,5.50709161104748,303.168759453055,-22.090372204247,48.1798437373095
0.5,57.05,-19.9166842897492,-7.65167656099758,1885.91301892144,5.50981766933052,303.087330731648,-26.6351743379306,46.8697288325306
0.5,57.1,-19.4987665207685,-7.7382047571401,1888.2975033361,5.51254804117053,303.006345319358,-31.5356070569081,45.7005016582832
0.5,57.15,-19.173284693646,-7.82256504008117,1890.68107669782,5.51528270427246,302.925800892402,-36.5662790562419,44.6761516938457
0.5,57.2,-18.9222743389554,-7.89973662451581,1893.06374246933,5.51802163650046,302.84569514358,-41.5907654976836,43.7927638942457
0.5,57.25,-18.7287255636661,-7.96483543926917,1895.44550409461,5.52076481587646,302.766025782127,-46.5366939852232,43.0379930871101
0.5,57.3,-18.578526101875,-8.01349863737023,1897.82636499905,5.52351222057871,302.686790533569,-51.371766048763,42.3913563172844
0.5,57.35,-18.4607352144419,-8.04224801036809,1900.20632858957,5.52626382894036,302.607987139571,-56.0861788729462,41.8254173173937
0.5,57.4,-18.3671697335481,-8.04877750062538,1902.58539825479,5.52901961944812,302.529613357794,-60.681396644482,41.3077781676802
0.5,57.45,-18.2918101776322,-8.0321190920633,1904.96357736509,5.53177957074081,302.451666961755,-65.1635934321184,40.8036278088436
0.5,57.5,-18.2302418476024,-7.99266298568114,1907.34086927282,5.53454366160806,302.37414574068,-69.5401009536214,40.2784782357306
0.5,57.55,-18.1791985888626,-7.93203629383284,1909.71727731236,5.53731187098889,302.297047499366,-73.817646193921,39.7006896388076
0.5,57.6,-18.1362142282526,-7.85287060666452,1912.09280480028,5.54008417797044,302.220370058044,-78.0016012525685,39.0434554800313
0.5,57.65,-18.0993652423577,-7.75850485918201,1914.46745503547,5.54286056178659,302.144111252239,-82.0957814615662,38.2860589884079
0.5,57.7,-18.0670842881328,-7.652672689898,1916.84123129924,5.5456410018167,302.068268932636,-86.1025266564737,37.4143723390092
0.5,57.75,-18.0380265851445,-7.53921494564248,1919.21413685548,5.54842547758429,301.992840964945,-90.0229186676897,36.4207001025738
0.5,57.8,-18.0109750178046,-7.42184341825618,1921.58617495075,5.55121396875575,301.917825229768,-93.8570557328904,35.3031427210628
0.5,57.85,-17.9847734687435,-7.30396683540759,1923.9573488144,5.55400645513909,301.843219622469,-97.6043423061089,34.0646729130704
0.5,57.9,-17.9582808141672,-7.18857828250967,1926.32766165873,5.55680291668272,301.769022053041,-101.263773469814,32.7120943104281
0.5,57.95,-17.9303402008748,-7.0781959554985,1928.69711667907,5.55960333347412,301.695230445981,-104.834204358026,31.2550083866865
0.5,58,-17.8997598196936,-6.97484601703643,1931.0657170539,5.56240768573871,301.62184274016,-108.314600928731,29.7048700022518
0.5,58.05,-17.8653025443029,-6.88007611225871,1933.43346594499,5.56521595383859,301.548856888699,-111.704271432939,28.0741735642071
0.5,58.1,-17.8256826440034,-6.79498948416034,1935.80036649751,5.56802811827134,301.476270858843,-115.003079281806,26.3757843224935
0.5,58.15,-17.7795683951324,-6.72029161391394,1938.16642184012,5.57084415966884,301.404082631837,-118.211638378463,24.6224120743189
0.5,58.2,-17.7255898682118,-6.6563432944702,1940.53163508512,5.5736640587961,301.332290202808,-121.331491704227,22.8262151431233
0.5,58.25,-17.6623514916466,-6.60321574680556,1942.89600932855,5.57648779655008,301.260891580639,-124.36527321958,20.9985183193285
0.5,58.3,-17.5884492055591,-6.56074473338822,1945.25954765029,5.57931535395856,301.189884787854,-127.316852085358,19.1496273707303
0.5,58.35,-17.5024921280463,-6.5285816429144,1947.62225311417,5.582146712179,301.119267860497,-130.191456947072,17.2887233003776
0.5,58.4,-17.4031286630551,-6.50624027995796,1949.98412876811,5.5849818524974,301.049038848017,-132.995776692468,15.4238208859068
0.5,58.45,-17.2890768873317,-6.49313865830713,1952.3451776442,5.58782075632718,300.979195813151,-135.738032855925,13.5617777234187
0.5,58.5,-17.1591588725241,-6.48863551847252,1954.70540275882,5.59066340520809,300.909736831811,-138.428017891739,11.7083418106143
0.5,58.55,-17.0123383460078,-6.49206160315139,1957.06480711275,5.59350978080476,300.840659992968,-141.077093060959,9.86822755000414
0.5,58.6,-16.8477608000168,-6.50274595184852,1959.42339369126,5.59635986490601,300.771963398544,-143.698139827916,8.04521189692227
0.5,58.65,-16.6647948624808,-6.5200376318622,1961.78116546425,5.59921363942744,300.703645163298,-146.305459522098,6.24224420059195
0.5,58.7,-16.4630734883711,-6.54332341723708,1964.1381253863,5.60207108639942,300.635703414715,-148.914617554784,4.46156508019924
0.5,58.75,-16.2425333568454,-6.57204196681129,1966.49427639685,5.60493218797846,300.568136292903,-151.542230522057,2.704831443576
0.5,58.8,-16.0034507916072,-6.60569504081055,1968.84962142021,5.60779692643986,300.50094195048,-154.205696791793,0.973246512580268
0.5,58.85,-15.7464725593432,-6.64385623162643,1971.20416336576,5.61066528417777,300.434118552469,-156.922873313472,-0.732304491703965
0.5,58.9,-15.4726400133334,-6.68617755984756,1973.55790512796,5.61353724370429,300.367664276195,-159.711703086631,-2.41111046230238
0.5,58.95,-15.1834051782721,-6.73239408001361,1975.91084958651,5.61641278764837,300.301577311179,-162.589798802496,-4.06247769991044
0.5,59,-14.8806374451034,-6.78232631004705,1978.26299960645,5.61929189875493,300.235855859033,-165.573988713622,-5.68555340887588
0.5,59.05,-14.5666194960193,-6.83587976891656,1980.61435803823,5.62217455988377,300.170498133363,-168.679831187046,-7.27911971707332
0.5,59.1,-14.2440308811396,-6.89304005157353,1982.96492771779,5.6250607540087,300.105502359662,-171.921105361316,-8.84134557806783
0.5,59.15,-13.9159173577018,-6.95386048161411,1985.31471146673,5.6279504642165,300.040866775215,-175.309287744901,-10.3694811323556
0.5,59.2,-13.585643806752,-7.01843714030662,1987.66371209234,5.63084367370598,299.976589628997,-178.853029295327,-11.8594778028014
