"S_width [mm]","T_sub [mm]","W_50 [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1:1)) []","re(Gamma(1:1)) []","re(Zo(1:1)) []","ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.1,0.254,0.5,37,-32.9985349864708,-0.416908825024623,1155.0689374984,3.39954817163496,55.2352908155331,173.370608608235,-109.243754164577
0.1,0.254,0.5,37.05,-32.9066804097264,-0.420539488364581,1156.69090792374,3.40358313601233,55.2404176937685,172.176481864048,-110.395156324719
0.1,0.254,0.5,37.1,-32.8149340494792,-0.423859052949516,1158.31321831593,3.40761999247319,55.2455969758292,170.973110832996,-111.547561795094
0.1,0.254,0.5,37.15,-32.7233969244952,-0.426880053481703,1159.93587002347,3.41165875322137,55.2508290993807,169.760470941317,-112.70091126967
0.1,0.254,0.5,37.2,-32.6321743052118,-0.429615090716372,1161.55886440162,3.4156994305366,55.2561145057786,168.538547748155,-113.8551477521
0.1,0.254,0.5,37.25,-32.5413757035883,-0.432076810427458,1163.18220281245,3.41974203677439,55.261453640102,167.307338384566,-115.010216575141
0.1,0.254,0.5,37.3,-32.4511148436335,-0.434277882414178,1164.80588662492,3.42378658436589,55.2668469511866,166.066853064863,-116.166065415155
0.1,0.254,0.5,37.35,-32.3615096105344,-0.436230979590271,1166.42991721491,3.42783308581779,55.2722948916582,164.817116662936,-117.322644301764
0.1,0.254,0.5,37.4,-32.2726819762626,-0.437948757195963,1168.05429596522,3.43188155371221,55.2777979179672,163.558170344285,-118.479905622803
0.1,0.254,0.5,37.45,-32.1847578995269,-0.439443832170818,1169.67902426568,3.43593200070657,55.2833564904228,162.290073242445,-119.637804124692
0.1,0.254,0.5,37.5,-32.0978671979584,-0.440728762723541,1171.30410351315,3.43998443953347,55.2889710732273,161.0129041663,-120.796296908357
0.1,0.254,0.5,37.55,-32.0121433904796,-0.441816028132841,1172.9295351116,3.4440388830006,55.2946421345115,159.726763322519,-121.955343420862
0.1,0.254,0.5,37.6,-31.9277235079198,-0.442718008811302,1174.5553204721,3.44809534399059,55.3003701463698,158.431774034942,-123.114905442889
0.1,0.254,0.5,37.65,-31.8447478701015,-0.443446966662143,1176.18146101294,3.45215383546091,55.3061555848956,157.128084440383,-124.274947072234
0.1,0.254,0.5,37.7,-31.7633598278445,-0.444015025756546,1177.80795815959,3.45621437044377,55.3119989302178,155.815869137913,-125.43543470347
0.1,0.254,0.5,37.75,-31.6837054686162,-0.444434153357199,1179.43481334484,3.46027696204596,55.3179006665366,154.495330766394,-126.596337003959
0.1,0.254,0.5,37.8,-31.6059332849057,-0.444716141311575,1181.06202800877,3.46434162344878,55.3238612821601,153.166701482866,-127.75762488635
0.1,0.254,0.5,37.85,-31.5301938048098,-0.444872587836357,1182.68960359882,3.46840836790791,55.3298812695417,151.830244312482,-128.91927147776
0.1,0.254,0.5,37.9,-31.456639184802,-0.444914879712489,1184.31754156987,3.47247720875327,55.3359611253169,150.486254339031,-130.081252085779
0.1,0.254,0.5,37.95,-31.385422765193,-0.444854174908339,1185.94584338425,3.47654815938895,55.3421013503411,149.135059703901,-131.243544161478
