W_50 [mm],Freq [GHz],"dB(S(1,1)) []","dB(S(2,1)) []",im(Gamma(1:1)) [],re(Gamma(1:1)) [],re(Zo(1:1)) [],"ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.5,57,-14.79050871,-5.815947168,1861.4588,5.497995398,132.3723236,-134.258613,-134.1283829
0.5,57.05,-14.75692132,-5.833056953,1863.829724,5.500689466,132.3289529,-137.2281028,-135.9021228
0.5,57.1,-14.72116286,-5.854493595,1866.199729,5.503387979,132.2857821,-140.2523948,-137.6548772
0.5,57.15,-14.68409058,-5.879815226,1868.56882,5.506090914,132.2428102,-143.330823,-139.384791
0.5,57.2,-14.64665809,-5.908545836,1870.936999,5.50879825,132.2000362,-146.4619285,-141.0904058
0.5,57.25,-14.60989985,-5.940184471,1873.304271,5.511509963,132.157459,-149.6432743,-142.7707163
0.5,57.3,-14.57490627,-5.974217295,1875.670639,5.51422603,132.1150776,-152.8712612,-144.4252192
0.5,57.35,-14.54278833,-6.01013288,1878.036105,5.516946431,132.072891,-156.1409644,-146.0539507
0.5,57.4,-14.51463133,-6.047440701,1880.400675,5.519671143,132.0308981,-159.4460148,-147.6575011
0.5,57.45,-14.49143908,-6.085692311,1882.76435,5.522400143,131.9890979,-162.7785519,-149.2369969
0.5,57.5,-14.47407109,-6.124503791,1885.127135,5.525133411,131.9474894,-166.1292781,-150.7940384
0.5,57.55,-14.46317778,-6.163577058,1887.489032,5.527870924,131.9060717,-169.4876359,-152.330583
0.5,57.6,-14.4591401,-6.202716573,1889.850046,5.530612662,131.8648436,-172.8421221,-153.8487707
0.5,57.65,-14.46202118,-6.241837416,1892.210179,5.533358603,131.8238042,-176.1807321,-155.3507008
0.5,57.7,-14.47153754,-6.280960855,1894.569435,5.536108727,131.7829526,-179.4915116,-156.8381785
0.5,57.75,-14.48705586,-6.320195039,1896.927817,5.538863011,131.7422877,177.2368323,-158.3124686
0.5,57.8,-14.50761828,-6.359701037,1899.285329,5.541621435,131.7018086,174.0143197,-159.7740983
0.5,57.85,-14.53199557,-6.399647743,1901.641974,5.54438398,131.6615144,170.8491538,-161.2227514
0.5,57.9,-14.55876327,-6.440162155,1903.997754,5.547150623,131.621404,167.7473049,-162.6572811
0.5,57.95,-14.58639297,-6.481282999,1906.352674,5.549921346,131.5814765,164.7122652,-164.0758476
0.5,58,-14.61334888,-6.522925099,1908.706736,5.552696127,131.541731,161.7449966,-165.4761579
0.5,58.05,-14.63817993,-6.564859355,1911.059944,5.555474946,131.5021666,158.8440621,-166.8557689
0.5,58.1,-14.65959932,-6.606709677,1913.412301,5.558257784,131.4627823,156.0059152,-168.2124059
0.5,58.15,-14.67654578,-6.647964928,1915.76381,5.561044621,131.4235772,153.2253025,-169.5442559
0.5,58.2,-14.6882242,-6.688001886,1918.114474,5.563835437,131.3845504,150.4957324,-170.8502081
0.5,58.25,-14.6941258,-6.726114661,1920.464297,5.566630213,131.3457009,147.8099633,-172.1300323
0.5,58.3,-14.69403023,-6.761546817,1922.813281,5.569428929,131.3070279,145.1604762,-173.3845
0.5,58.35,-14.68799307,-6.793523948,1925.16143,5.572231566,131.2685305,142.539906,-174.6154593
0.5,58.4,-14.67632268,-6.821286108,1927.508746,5.575038105,131.2302078,139.9414223,-175.8258787
0.5,58.45,-14.65954955,-6.844120892,1929.855233,5.577848527,131.1920589,137.3590571,-177.0198685
0.5,58.5,-14.63839066,-6.861398744,1932.200894,5.580662813,131.154083,134.7879883,-178.2026818
0.5,58.55,-14.61370952,-6.872612281,1934.545732,5.583480945,131.116279,132.2247908,-179.3806872
0.5,58.6,-14.58647134,-6.877420777,1936.88975,5.586302903,131.0786463,129.6676661,179.4387054
0.5,58.65,-14.5576907,-6.875699581,1939.23295,5.589128669,131.0411839,127.1166584,178.2471922
0.5,58.7,-14.52836781,-6.867591998,1941.575337,5.591958225,131.003891,124.5738515,177.0358288
0.5,58.75,-14.49940826,-6.853558125,1943.916912,5.594791553,130.9667666,122.0435238,175.7954202
0.5,58.8,-14.47152141,-6.834411845,1946.25768,5.597628635,130.9298101,119.5322109,174.5170661
0.5,58.85,-14.44509504,-6.811334291,1948.597642,5.600469452,130.8930205,117.0485894,173.1928532
0.5,58.9,-14.42005027,-6.785851098,1950.936802,5.603313987,130.8563971,114.6030606,171.8166477
0.5,58.95,-14.39569268,-6.759763182,1953.275163,5.606162222,130.8199389,112.2068924,170.3848915
0.5,59,-14.37059211,-6.735027609,1955.612727,5.609014139,130.7836452,109.8708033,168.8972634
0.5,59.05,-14.34254201,-6.713596171,1957.949498,5.611869721,130.7475152,107.6029845,167.3570487
0.5,59.1,-14.30865776,-6.697231861,1960.285478,5.614728951,130.711548,105.4067704,165.7710878
0.5,59.15,-14.26565904,-6.687333268,1962.62067,5.617591812,130.6757429,103.27846,164.1492477
0.5,59.2,-14.21033099,-6.684799369,1964.955077,5.620458285,130.640099,101.2060231,162.5034668
0.5,59.25,-14.14008214,-6.68995996,1967.288703,5.623328354,130.6046155,99.16939578,160.8465296
0.5,59.3,-14.05344928,-6.70258202,1969.621549,5.626202003,130.5692917,97.14265537,159.1907894
0.5,59.35,-13.9503878,-6.721944819,1971.953618,5.629079214,130.5341269,95.09766459,157.5470532
0.5,59.4,-13.83225514,-6.746962902,1974.284914,5.631959971,130.4991201,93.00815895,155.9237857
0.5,59.45,-13.70151052,-6.776330146,1976.615439,5.634844256,130.4642707,90.85310273,154.3266927
0.5,59.5,-13.56125152,-6.808660182,1978.945196,5.637732055,130.4295778,88.61853183,152.75866
0.5,59.55,-13.4147372,-6.842605885,1981.274187,5.640623349,130.3950407,86.2977574,151.2199646
0.5,59.6,-13.26501033,-6.876949691,1983.602416,5.643518124,130.3606587,83.89033834,149.7086536
0.5,59.65,-13.11466574,-6.910664253,1985.929885,5.646416363,130.326431,81.40044004,148.2209955
0.5,59.7,-12.96575618,-6.94294801,1988.256596,5.649318049,130.2923569,78.83511906,146.751931
0.5,59.75,-12.81979794,-6.97324253,1990.582553,5.652223167,130.2584356,76.20286501,145.2954831
0.5,59.8,-12.67783403,-7.001238663,1992.907759,5.655131702,130.2246663,73.5125272,143.84511
0.5,59.85,-12.54052065,-7.026877466,1995.232215,5.658043636,130.1910485,70.77261796,142.3940064
0.5,59.9,-12.40821512,-7.050350141,1997.555924,5.660958956,130.1575812,67.99091985,140.9353689
0.5,59.95,-12.28105373,-7.072099272,1999.87889,5.663877644,130.1242638,65.17430892,139.4626543
