"W_50 [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1:1)) []","re(Gamma(1:1)) []","re(Zo(1:1)) []","ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.5,57,-18.9905173378752,-7.52035892252623,1869.13479388,5.4967988414504,198.647845635191,-177.493745323718,-128.9722548969
0.5,57.05,-19.0517676691291,-7.51540721631788,1871.5135026727,5.49950931132804,198.587669780311,177.874434065492,-130.016992174929
0.5,57.1,-19.1458766366939,-7.5056343574064,1873.8912932496,5.50222422234243,198.527790899962,173.301606758781,-131.06381123471
0.5,57.15,-19.2727185594796,-7.49076297292657,1876.26816914156,5.50494355167595,198.468207424413,168.819561144582,-132.114698910837
0.5,57.2,-19.4314926899104,-7.47051123089548,1878.64413386022,5.50766727667485,198.408917795223,164.459802040565,-133.172000094938
0.5,57.25,-19.620769053143,-7.44459806153494,1881.01919089817,5.51039537484766,198.349920465146,160.252789649602,-134.23847156198
0.5,57.3,-19.8385575053452,-7.41275039595708,1883.39334372902,5.51312782386378,198.291213898022,156.22738550099,-135.31734010746
0.5,57.35,-20.0823842550952,-7.37471293556509,1885.7665958076,5.51586460155197,198.232796568683,152.41054185103,-136.412363595423
0.5,57.4,-20.3493589930161,-7.33026104062865,1888.13895057007,5.51860568589894,198.17466696285,148.827226018871,-137.527892504419
0.5,57.45,-20.6362171698489,-7.27921738424336,1890.51041143404,5.52135105504792,198.116823577038,145.500527907794,-138.668928160558
0.5,57.5,-20.93932521829,-7.22147303667949,1892.88098179873,5.52410068729719,198.059264918454,142.451861700207,-139.841171982936
0.5,57.55,-21.2546410435883,-7.15701359228363,1895.25066504506,5.52685456109876,198.001989504907,139.701141618419,-141.051057675976
0.5,57.6,-21.577627810213,-7.08595078001993,1897.61946453583,5.52961265505694,197.944995864709,137.266784315956,-142.305755380323
0.5,57.65,-21.9031265812742,-7.00855964727709,1899.98738361583,5.53237494792697,197.888282536583,135.165364926982,-143.613133445092
0.5,57.7,-22.2252041547461,-6.92532079873175,1902.35442561194,5.53514141861368,197.831848069569,133.410732817631,-144.981660012208
0.5,57.75,-22.537008308216,-6.83696622665115,1904.7205938333,5.53791204617017,197.775691022932,132.012389622521,-146.420223617201
0.5,57.8,-22.8306847136766,-6.74452592037854,1907.0858915714,5.54068680979642,197.719809966073,130.972975076035,-147.937850549802
0.5,57.85,-23.0974361201969,-6.64937067958771,1909.45032210022,5.54346568883806,197.664203478436,130.284842324884,-149.543298343252
0.5,57.9,-23.3278266484932,-6.55324448224975,1911.81388867636,5.54624866278502,197.608870149422,129.925987952712,-151.244511530634
0.5,57.95,-23.5124342702378,-6.45827767238303,1914.17659453914,5.54903571127027,197.5538085783,129.856056914988,-153.047939983383
0.5,58,-23.642907383307,-6.36697070156028,1916.53844291076,5.55182681406853,197.499017374117,130.013694363008,-154.957743476864
0.5,58.05,-23.7133679582557,-6.28213803638148,1918.89943699637,5.55462195109505,197.444495155618,130.316927047654,-156.974938563667
