W_50 [mm],Freq [GHz],"dB(S(1,1)) []","dB(S(2,1)) []",im(Gamma(1)) [],re(Gamma(1)) [],re(Zo(1)) [],"ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.5,57,-13.48394682,-4.794525824,1861.994686,5.51683167,101.8226837,-122.3985005,-138.7944137
0.5,57.05,-13.5294146,-4.773766151,1864.364666,5.519558747,101.7875781,-125.2690811,-140.5774742
0.5,57.1,-13.57508117,-4.755821973,1866.733736,5.522290275,101.7526254,-128.1544772,-142.3562777
0.5,57.15,-13.62039676,-4.740465477,1869.1019,5.52502623,101.7178248,-131.0580095,-144.1297219
0.5,57.2,-13.66486038,-4.727416284,1871.469162,5.52776659,101.6831754,-133.9845249,-145.8968645
0.5,57.25,-13.70810277,-4.716333703,1873.835524,5.530511334,101.6486765,-136.9409151,-147.6570194
0.5,57.3,-13.75004429,-4.706810008,1876.200991,5.533260439,101.6143272,-139.936722,-149.4098984
0.5,57.35,-13.79118587,-4.698367253,1878.565565,5.536013883,101.5801268,-142.9846182,-151.1558082
0.5,57.4,-13.83311164,-4.690462132,1880.929251,5.538771644,101.5460745,-146.1001007,-152.8959204
0.5,57.45,-13.87925141,-4.682506289,1883.292051,5.541533701,101.5121694,-149.2987494,-154.6326179
0.5,57.5,-13.93570978,-4.673913092,1885.65397,5.544300033,101.4784109,-152.5878657,-156.3699014
0.5,57.55,-14.0112266,-4.66418501,1888.015009,5.547070618,101.4447981,-155.9490895,-158.1137923
0.5,57.6,-14.11422112,-4.65305502,1890.375173,5.549845435,101.4113302,-159.3163802,-159.8725823
0.5,57.65,-14.24571422,-4.640684679,1892.734466,5.552624462,101.3780066,-162.5752605,-161.6566683
0.5,57.7,-14.3932183,-4.627892676,1895.092889,5.55540768,101.3448264,-165.616099,-163.4776208
0.5,57.75,-14.53532667,-4.616338829,1897.450448,5.558195068,101.3117889,-168.4114735,-165.3461873
0.5,57.8,-14.65488054,-4.608539184,1899.807144,5.560986604,101.2788934,-171.0282285,-167.2693043
0.5,57.85,-14.74621113,-4.607589204,1902.162981,5.563782269,101.2461391,-173.5656889,-169.2469002
0.5,57.9,-14.81216586,-4.616578484,1904.517963,5.566582042,101.2135252,-176.0995333,-171.2699554
0.5,57.95,-14.85840375,-4.637871205,1906.872092,5.569385904,101.1810511,-178.6687522,-173.3211992
0.5,58,-14.89006805,-4.672562058,1909.225373,5.572193833,101.1487161,178.7136865,-175.3786074
0.5,58.05,-14.91084467,-4.720350873,1911.577807,5.575005811,101.1165193,176.0480381,-177.4202431
0.5,58.1,-14.92309095,-4.779841187,1913.929399,5.577821818,101.0844601,173.3396748,-179.4283298
0.5,58.15,-14.92821673,-4.84905704,1916.28015,5.580641833,101.0525379,170.5951246,178.6087887
0.5,58.2,-14.92702262,-4.925935022,1918.630066,5.583465838,101.0207518,167.8204684,176.6967988
0.5,58.25,-14.91993818,-5.008651513,1920.979148,5.586293814,100.9891011,165.0208445,174.8368207
0.5,58.3,-14.90717556,-5.095767643,1923.3274,5.589125741,100.9575853,162.2004091,173.0271392
0.5,58.35,-14.8888247,-5.186242587,1925.674824,5.5919616,100.9262035,159.3624529,171.264684
0.5,58.4,-14.86491163,-5.279377545,1928.021425,5.594801372,100.8949552,156.5095506,169.5460628
0.5,58.45,-14.83543389,-5.374736636,1930.367204,5.597645039,100.8638396,153.6436982,167.8681755
0.5,58.5,-14.80038215,-5.47207026,1932.712166,5.600492581,100.832856,150.7664238,166.2285219
0.5,58.55,-14.7597535,-5.57125134,1935.056312,5.603343981,100.8020038,147.8788735,164.625315
