"W_50 [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1)) []","re(Gamma(1)) []","re(Zo(1)) []","ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.5,57,-8.88851123152237,-4.37179762550813,1966.61037183993,4.70198553824938,21.1993595140162,-67.9992897761836,-136.973449028285
0.5,57.05,-9.09338637565803,-4.38035548675081,1968.62369439889,4.70562152929333,21.1984206336357,-70.1226575803527,-138.288484458748
0.5,57.1,-9.32101522901322,-4.38970315547077,1970.63680323549,4.70925902404795,21.1974925334841,-72.1968767647523,-139.55716792453
0.5,57.15,-9.57042038440965,-4.39705834842103,1972.64969919989,4.71289802022515,21.1965751797158,-74.2179397950909,-140.77810456591
0.5,57.2,-9.84068282762451,-4.39964039272737,1974.66238313879,4.71653851554925,21.195668538675,-76.1830615009519,-141.958298525157
0.5,57.25,-10.1309745635511,-4.39537050297259,1976.67485589546,4.72018050775686,21.1947725768942,-78.0906120939815,-143.112254175191
0.5,57.3,-10.440588025851,-4.38335150974335,1978.68711830979,4.72382399459677,21.1938872610936,-79.9400300011887,-144.258360255046
0.5,57.35,-10.7689625261106,-4.36391078845032,1980.69917121823,4.72746897382991,21.1930125581792,-81.7317242830671,-145.414323817544
0.5,57.4,-11.1157084290146,-4.33826262134201,1982.71101545389,4.73111544322922,21.1921484352418,-83.4669753373363,-146.593759995149
0.5,57.45,-11.4806301035159,-4.30802769031281,1984.7226518465,4.73476340057957,21.191294859556,-85.1478412507074,-147.804924898421
0.5,57.5,-11.8637490181614,-4.274828772248,1986.73408122247,4.73841284367767,21.1904517985787,-86.777075813436,-149.05123932198
0.5,57.55,-12.2653286585593,-4.24005483269119,1988.74530440488,4.74206377033201,21.1896192199479,-88.358063051939,-150.332666020881
0.5,57.6,-12.6859032965118,-4.2047782349768,1990.75632221348,4.74571617836272,21.1887970914817,-89.894772300827,-151.647152266434
0.5,57.65,-13.126313098192,-4.16976772702603,1992.76713546479,4.74937006560153,21.1879853811769,-91.3917374203059,-152.991749302852
0.5,57.7,-13.587748708233,-4.13554400896007,1994.77774497199,4.75302542989168,21.187184057208,-92.8540638389547,-154.363332923063
0.5,57.75,-14.0718094066359,-4.10244426498935,1996.78815154506,4.75668226908778,21.186393087926,-94.2874677414351,-155.758997624422
0.5,57.8,-14.5805803819032,-4.07067965182675,1998.79835599072,4.76034058105582,21.185612441857,-95.6983530399765,-157.17623101358
0.5,57.85,-15.1167368704892,-4.04038067304477,2000.80835911247,4.76400036367299,21.1848420877015,-97.0939339658461,-158.612958739895
0.5,57.9,-15.6836863234837,-4.01163069367527,2002.81816171061,4.76766161482768,21.1840819943327,-98.4824145497769,-160.067521813497
0.5,57.95,-16.2857651225729,-3.984489795552,2004.82776458226,4.77132433241934,21.183332130796,-99.8732415848422,-161.538623566343
0.5,58,-16.928514976578,-3.95901147045821,2006.83716852136,4.77498851435841,21.1825924663072,-101.277456122381,-163.025266412072
0.5,58.05,-17.6190783283085,-3.93525429674016,2008.8463743187,4.77865415856626,21.1818629702521,-102.708182587981,-164.526687972638
0.5,58.1,-18.366776287517,-3.91329022893358,2010.85538276193,4.78232126297509,21.1811436121847,-104.181319299834,-166.04230006546
0.5,58.15,-19.1839754403795,-3.89321064219099,2012.86419463558,4.78598982552787,21.1804343618267,-105.716540698826,-167.571630756162
0.5,58.2,-20.0874293824673,-3.87513086731697,2014.87281072109,4.78965984417823,21.1797351890658,-107.338816127334,-169.114267990571
0.5,58.25,-21.1004369367828,-3.85919362302516,2016.88123179678,4.79333131689039,21.1790460639553,-109.080858213692,-170.66980250389
0.5,58.3,-22.2564874308199,-3.84557147480648,2018.88945863793,4.79700424163913,21.1783669567124,-110.98741444092,-172.237767375027
0.5,58.35,-23.6058154301544,-3.83446819656367,2020.89749201673,4.80067861640963,21.1776978377176,-113.12364338046,-173.817571584118
0.5,58.4,-25.2282031019242,-3.82611865792603,2022.90533270234,4.80435443919746,21.1770386775134,-115.59378756211,-175.408425233444
0.5,58.45,-27.2609724901528,-3.82078659136522,2024.91298146092,4.80803170800847,21.1763894468032,-118.59025113657,-177.00925482222
0.5,58.5,-29.9709019534155,-3.81875930737479,2026.92043905558,4.81171042085874,21.1757501164506,-122.554178581478,-178.618608348845
0.5,58.55,-33.990898125269,-3.82033814449219,2028.92770624645,4.81539057577447,21.1751206574779,-128.913959906469,179.765447635642
0.5,58.6,-41.4785088013206,-3.82582322133004,2030.93478379069,4.81907217079193,21.1745010410655,-146.903890499909,178.145433225223
0.5,58.65,-44.6268025338981,-3.83549100925002,2032.94167244248,4.82275520395739,21.1738912385504,95.6755319945692,176.52455152989
0.5,58.7,-35.4019004670734,-3.84956353950301,2034.94837295306,4.82643967332703,21.1732912214259,66.1165270824815,174.906758275786
0.5,58.75,-30.9008076178428,-3.86816892682924,2036.95488607072,4.83012557696687,21.1727009613396,57.9394112638612,173.2967789316
0.5,58.8,-28.0554234942291,-3.89129456880707,2038.96121254084,4.83381291295271,21.1721204300935,52.85131849376,171.700040849258
0.5,58.85,-26.0493083405701,-3.91873698868982,2040.9673531059,4.83750167937006,21.171549599642,48.9257734325137,170.122485420163
0.5,58.9,-24.5553989214805,-3.95005563433032,2042.97330850549,4.84119187431403,21.1709884420989,45.7494338781038,168.570231840394
0.5,58.95,-23.4007789743858,-3.98454128143641,2044.9790794763,4.84488349588931,21.1704369297101,43.2145020811509,167.049084592863
0.5,59,-22.47639283129,-4.02121160968695,2046.98466675219,4.84857654221008,21.1698950348867,41.2707240754204,165.563913235077
0.5,59.05,-21.7069134150582,-4.05884522167859,2048.99007106415,4.85227101139991,21.1693627301874,39.8564036722681,164.117980846207
0.5,59.1,-21.0391816223449,-4.09605947692147,2050.99529314035,4.85596690159173,21.1688399883164,38.8861359859304,162.712342461362
0.5,59.15,-20.436552112008,-4.13142725964313,2053.00033370613,4.85966421092774,21.1683267821256,38.2597945782859,161.345455744005
0.5,59.2,-19.8749614252936,-4.16361589753774,2055.00519348404,4.86336293755929,21.1678230846129,37.876489917395,160.01312385671
0.5,59.25,-19.3395828056539,-4.1915225579648,2057.00987319382,4.86706307964685,21.1673288689215,37.6457203062437,158.708821155422
0.5,59.3,-18.8219649097766,-4.21437899269905,2059.01437355245,4.87076463535981,21.166844108339,37.4933292017431,157.424355497423
0.5,59.35,-18.3177558319347,-4.23180593346291,2061.01869527414,4.87446760287648,21.1663687762965,37.3628688559542,156.150733504426
0.5,59.4,-17.8250422551245,-4.24381099290652,2063.02283907036,4.87817198038455,21.1659028463674,37.2140321100191,154.879052079839
0.5,59.45,-17.3432332888404,-4.25073804966912,2065.02680564981,4.88187776608222,21.1654462922669,37.019742462151,153.601254402158
0.5,59.5,-16.8723666221118,-4.25318560026838,2067.03059571853,4.88558495817652,21.1649990878509,36.7629938011448,152.310647937353
0.5,59.55,-16.4127104063711,-4.25191415990233,2069.0342099798,4.88929355488035,21.1645612071151,36.4340220911369,151.002156146103
0.5,59.6,-15.964555869236,-4.24775950640669,2071.03764913422,4.89300355441504,21.1641326241942,36.0280287976606,149.672336649623
0.5,59.65,-15.5281243214559,-4.24156226000579,2073.04091387971,4.89671495501161,21.1637133133608,35.5434699809464,148.319232364232
0.5,59.7,-15.1035379074365,-4.2341178487972,2075.04400491154,4.90042775491007,21.1633032490249,34.980832454305,146.942128866967
0.5,59.75,-14.6908227957742,-4.22614608430832,2077.04692292229,4.90414195235897,21.1629024057328,34.3417920801424,145.541279940385
0.5,59.8,-14.2899266315892,-4.21827686498686,2079.04966860191,4.90785754561526,21.1625107581661,33.6286550133455,144.117644334112
0.5,59.85,-13.9007403510675,-4.21104761164339,2081.05224263775,4.91157453294425,21.1621282811413,32.8440003458104,142.672658020358
0.5,59.9,-13.5231193870768,-4.20490827993046,2083.0546457145,4.91529291261953,21.1617549496085,31.9904620240216,141.208051560015
0.5,59.95,-13.1569020776292,-4.20023059078588,2085.05687851428,4.91901268292293,21.1613907386508,31.0706048896893,139.725712604139
0.5,60,-12.801924572107,-4.19731905183807,2087.0589417166,4.92273384214447,21.1610356234836,30.0868630498195,138.227588350048
0.5,60.05,-12.4580322614884,-4.19642218181435,2089.06083599841,4.9264563885823,21.1606895794532,29.0415186741826,136.715620693495
0.5,60.1,-12.125088074433,-4.19774300597702,2091.06256203407,4.93018032054262,21.1603525820368,27.9367063649603,135.191706652362
0.5,60.15,-11.8029780787664,-4.2014483551304,2093.06412049542,4.93390563633965,21.1600246068409,26.774433128156,133.657677456676
0.5,60.2,-11.4916148198921,-4.20767680304933,2095.06551205173,4.93763233429557,21.159705629601,25.556607291106,132.115290898923
0.5,60.25,-11.1909387753609,-4.21654525736604,2097.06673736976,4.94136041274043,21.1593956261809,24.2850719178625,130.56623277123
0.5,60.3,-10.9009182404213,-4.22815431452324,2099.06779711375,4.94508987001214,21.1590945725712,22.9616397164279,129.012124313572
0.5,60.35,-10.6215478986933,-4.24259253024262,2101.06869194543,4.94882070445639,21.1588024448892,21.5881273538378,127.454533499299
0.5,60.4,-10.3528462821088,-4.25993976468258,2103.06942252406,4.95255291442655,21.1585192193779,20.1663876691372,125.894988688474
0.5,60.45,-10.094852287232,-4.28026975061575,2105.06998950641,4.95628649828372,21.1582448724052,18.6983386204997,124.334993710093
0.5,60.5,-9.84762089093855,-4.30365201273176,2107.07039354676,4.96002145439656,21.1579793804631,17.185988004729,122.776043824179
0.5,60.55,-9.61121819592304,-4.33015324197177,2109.07063529698,4.9637577811413,21.1577227201669,15.6314531033353,121.219642296354
0.5,60.6,-9.38571593382266,-4.35983820349961,2111.07071540645,4.96749547690167,21.1574748682546,14.0369744799268,119.667317518952
0.5,60.65,-9.17118555880021,-4.39277023175139,2113.07063452216,4.97123454006884,21.1572358015859,12.4049232064225,118.120640756183
0.5,60.7,-8.96769207506386,-4.42901134118286,2115.07039328866,4.97497496904137,21.1570054971418,10.7378008485828,116.58124469311
0.5,60.75,-8.77528775586443,-4.46862195640447,2117.06999234809,4.97871676222515,21.1567839320235,9.03823160419844,115.050843040837
0.5,60.8,-8.5940059270693,-4.51166023947747,2119.0694323402,4.98245991803336,21.1565710834518,7.30894606240325,113.531251500672
0.5,60.85,-8.42385500392528,-4.55818096404624,2121.06871390236,4.98620443488638,21.1563669287664,5.55275613536124,112.024410421107
0.5,60.9,-8.264812984273,-4.60823385425192,2123.06783766956,4.9899503112118,21.1561714454251,3.77252079270383,110.532409492552
0.5,60.95,-8.11682261557443,-4.66186126931257,2125.06680427443,4.99369754544433,21.1559846110033,1.97110228718334,109.05751481023
0.5,61,-7.97978746860821,-4.71909507034942,2127.06561434725,4.9974461360257,21.1558064031929,0.151312574317522,107.6021985846
0.5,61.05,-7.85356917186408,-4.77995245238438,2129.06426851595,5.00119608140471,21.1556367998017,-1.68415042682808,106.169171672736
0.5,61.1,-7.73798609505253,-4.8444304592828,2131.06276740615,5.00494738003711,21.1554757787531,-3.53277723712551,104.761418914802
0.5,61.15,-7.63281382977467,-4.91249882085516,2133.06111164114,5.00870003038555,21.1553233180847,-5.3923326632337,103.382236944975
0.5,61.2,-7.53778791868763,-4.98409065826537,2135.05930184192,5.01245403091955,21.1551793959483,-7.26095426796739,102.035273644494
0.5,61.25,-7.4526094589859,-5.05909049711927,2137.05733862718,5.01620938011546,21.1550439906086,-9.13726516779833,100.724567629314
0.5,61.3,-7.37695449247573,-5.13731891168552,2139.05522261332,5.01996607645636,21.1549170804429,-11.0205034277427,99.4545849964169
0.5,61.35,-7.31048855278319,-5.21851301012751,2141.05295441449,5.02372411843208,21.1547986439404,-12.9106707622788,98.2302488317188
0.5,61.4,-7.25288845682399,-5.30230188287724,2143.05053464256,5.02748350453909,21.1546886597013,-14.8087031729727,97.0569545066102
0.5,61.45,-7.20387452357097,-5.38817611757568,2145.04796390715,5.03124423328046,21.1545871064362,-16.7166647638108,95.9405603233615
0.5,61.5,-7.16325803575278,-5.47545060836813,2147.04524281564,5.03500630316587,21.1544939629656,-18.6379616987048,94.8873383755854
0.5,61.55,-7.13101110096813,-5.56322027396746,2149.04237197319,5.03876971271148,21.154409208219,-20.5775630697988,93.9038644169924
0.5,61.6,-7.10736920960565,-5.65030912756307,2151.03935198271,5.04253446043993,21.1543328212345,-22.5421936718215,92.9968181855456
0.5,61.65,-7.09298045964327,-5.73521466200995,2153.03618344495,5.04630054488028,21.1542647811578,-24.5404202236691,92.1726576897913
0.5,61.7,-7.08911827584828,-5.81605203187214,2155.03286695841,5.05006796456798,21.1542050672419,-26.5824706993868,91.437124190601
0.5,61.75,-7.09797242867872,-5.89050632429816,2157.02940311944,5.05383671804478,21.1541536588462,-28.6794822237653,90.794532553099
0.5,61.8,-7.12301624213453,-5.95580642391851,2159.02579252218,5.05760680385873,21.154110535436,-30.8416441187779,90.2468103768502
0.5,61.85,-7.16939526659151,-6.00874018760796,2161.02203575862,5.06137822056411,21.1540756765818,-33.0744073053832,89.7922776993276
0.5,61.9,-7.24416069633645,-6.04573642855518,2163.0181334186,5.06515096672138,21.1540490619587,-35.3717395937252,89.4242174248876
0.5,61.95,-7.35595209489421,-6.06304159161338,2165.01408608978,5.06892504089716,21.1540306713457,-37.7058622578948,89.129382146287
0.5,62,-7.51348158187031,-6.05701335817275,2167.00989435772,5.07270044166416,21.1540204846252,-40.015106233103,88.8867105759128
0.5,62.05,-7.7222135282873,-6.02453461692661,2169.00555880583,5.07647716760112,21.1540184817822,-42.1964791450285,88.6666566144882
0.5,62.1,-7.97961445199699,-5.96351680149754,2171.0010800154,5.08025521729281,21.154024642904,-44.115232500664,88.4316039545373
