"S_width [mm]","T_sub [mm]","W_50 [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1:1)) []","re(Gamma(1:1)) []","re(Zo(1:1)) []","ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.1,0.254,0.5,37,-28.9359284336002,-0.424018988872283,1152.9742432613,3.54667972236732,54.6599782636797,144.497416246772,-113.574950100173
0.1,0.254,0.5,37.05,-28.871690350367,-0.4252131645778,1154.58912371257,3.55075033980234,54.664414213191,143.674249440195,-114.761622362881
0.1,0.254,0.5,37.1,-28.809816134269,-0.426333940991961,1156.20431659611,3.55482226240035,54.6688963193872,142.83235674748,-115.949938378852
0.1,0.254,0.5,37.15,-28.750433162519,-0.427384788823458,1157.81982312965,3.55889549811268,54.6734249721485,141.971912281861,-117.139851659031
0.1,0.254,0.5,37.2,-28.6936700590471,-0.428369181021472,1159.43564453719,3.56297005501538,54.6780005647685,141.093130527267,-118.331316794445
0.1,0.254,0.5,37.25,-28.6396562957996,-0.429290587886255,1161.05178204903,3.5670459413082,54.6826234939881,140.19626765523,-119.524289496367
0.1,0.254,0.5,37.3,-28.5885217629525,-0.430152472173441,1162.66823690181,3.57112316531359,54.6872941600283,139.281622621271,-120.718726635158
0.1,0.254,0.5,37.35,-28.5403963105582,-0.430958284200434,1164.28501033854,3.57520173547554,54.6920129666251,138.3495380077,-121.91458627773
0.1,0.254,0.5,37.4,-28.4954092649077,-0.43171145696311,1165.90210360869,3.57928166035849,54.6967803210636,137.400400580269,-123.11182772359
0.1,0.254,0.5,37.45,-28.4536889236744,-0.432415401270774,1167.51951796819,3.58336294864619,54.7015966342127,136.434641527431,-124.31041153943
0.1,0.254,0.5,37.5,-28.4153620346947,-0.433073500907224,1169.13725467951,3.58744560914046,54.7064623205607,135.452736353078,-125.510299592223
0.1,0.254,0.5,37.55,-28.3805532640159,-0.433689107825432,1170.75531501165,3.59152965076,54.7113777982503,134.455204396614,-126.711455080785
0.1,0.254,0.5,37.6,-28.3493846595738,-0.434265537383167,1172.37370024027,3.59561508253913,54.7163434891153,133.442607958052,-127.913842565782
0.1,0.254,0.5,37.65,-28.321975117537,-0.434806063626579,1173.99241164766,3.59970191362645,54.7213598187163,132.415551010512,-129.117427998143
0.1,0.254,0.5,37.7,-28.298439858934,-0.435313914628469,1175.61145052283,3.60379015328355,54.7264272163779,131.37467748805,-130.32217874586
0.1,0.254,0.5,37.75,-28.2788899246511,-0.43579226788771,1177.23081816152,3.60787981088359,54.7315461152258,130.32066914292,-131.528063619147
0.1,0.254,0.5,37.8,-28.2634316972231,-0.436244245795861,1178.85051586632,3.61197089590992,54.7367169522242,129.254242973258,-132.735052893939
0.1,0.254,0.5,37.85,-28.252166458015,-0.43667291117686,1180.47054494661,3.61606341795461,54.7419401682139,128.176148229458,-133.943118333713
0.1,0.254,0.5,37.9,-28.2451899884059,-0.437081262905133,1182.09090671871,3.62015738671697,54.7472162079509,127.087163015055,-135.152233209614
0.1,0.254,0.5,37.95,-28.2425922234094,-0.437472231607306,1183.71160250588,3.62425281200198,54.7525455201449,125.988090505612,-136.362372318869
0.1,0.254,0.5,38,-28.2444569658094,-0.437848675452237,1185.33263363835,3.62834970371878,54.7579285574988,124.879754816518,-137.573512001487
0.1,0.254,0.5,38.05,-28.2508616683545,-0.438213376033763,1186.95400145343,3.63244807187898,54.7633657767484,123.762996557721,-138.785630155224
0.1,0.254,0.5,38.1,-28.2618772908419,-0.43856903435025,1188.57570729549,3.63654792659506,54.7688576387022,122.638668119837,-139.998706248815
0.1,0.254,0.5,38.15,-28.2775682380669,-0.438918266884594,1190.19775251608,3.64064927807863,54.7744046082827,121.507628741667,-141.212721333461
0.1,0.254,0.5,38.2,-28.2979923836248,-0.43926360178808,1191.82013847391,3.64475213663871,54.7800071545666,120.370739413681,-142.427658052568
0.1,0.254,0.5,38.25,-28.3232011834722,-0.43960747517104,1193.44286653497,3.6488565126799,54.7856657508267,119.228857675355,-143.643500649746
0.1,0.254,0.5,38.3,-28.3532398820194,-0.439952227503065,1195.06593807253,3.6529624167006,54.7913808745741,118.082832366167,-144.860234975053
0.1,0.254,0.5,38.35,-28.3881478123683,-0.440300100125048,1196.68935446721,3.65706985929109,54.7971530076,116.933498390665,-146.07784848949
0.1,0.254,0.5,38.4,-28.4279587911847,-0.440653231875074,1198.31311710704,3.66117885113158,54.802982636019,115.781671557046,-147.296330267762
0.1,0.254,0.5,38.45,-28.4727016076357,-0.441013655829952,1199.9372273875,3.66528940299029,54.8088702503125,114.628143546399,-148.515670999284
0.1,0.254,0.5,38.5,-28.5224006048791,-0.441383296163721,1201.56168671159,3.66940152572138,54.8148163453723,113.473677066082,-149.735862987462
0.1,0.254,0.5,38.55,-28.5770763517953,-0.44176396512431,1203.18649648987,3.67351523026289,54.8208214205451,112.319001235838,-150.956900147237
0.1,0.254,0.5,38.6,-28.6367464020514,-0.44215736012924,1204.8116581405,3.6776305276346,54.8268859796771,111.164807249314,-152.178778000909
