freq,"dB(S(1,1))","dB(S(2,1))","dB(S(3,3))","dB(S(4,3))","dB(S(5,5))","dB(S(6,5))","dB(S(7,7))","dB(S(8,7))","dB(S(9,9))","dB(S(10,9))","dB(S(11,11))","dB(S(12,11))"
3.40E+10,-4.274305894,-4.753182237,-5.080559344,-2.644942851,-5.517511016,-2.402351816,-8.325766035,-1.504672224,-7.548434201,-1.669189697,-10.73564604,-1.139187899
3.41E+10,-4.264328677,-4.630802659,-5.150621471,-2.591043462,-5.648551401,-2.345319742,-8.598460408,-1.448902297,-7.840326727,-1.603258276,-11.00553325,-1.111141973
3.42E+10,-4.268905686,-4.469714502,-5.230700865,-2.546153236,-5.773746893,-2.297218921,-8.873177436,-1.399262678,-8.134002518,-1.542651669,-11.28227673,-1.084410592
3.43E+10,-4.174639001,-4.398522278,-5.324139834,-2.516408333,-5.895284495,-2.259906866,-9.14735256,-1.356707219,-8.42849978,-1.488438235,-11.56595071,-1.059000795
3.44E+10,-4.049064895,-4.356076227,-5.438948206,-2.51689545,-6.017058817,-2.237374639,-9.417898766,-1.323114065,-8.722763051,-1.442478454,-11.85661837,-1.034924998
3.45E+10,-4.079947583,-4.310448137,-5.591560859,-2.582706659,-6.147444447,-2.238180555,-9.681380459,-1.302282437,-9.016359694,-1.408326773,-12.15432918,-1.01220354
3.46E+10,-4.299117103,-4.206734438,-5.799685859,-2.731125206,-6.308862493,-2.277671314,-9.936740856,-1.301737628,-9.313294129,-1.393053005,-12.45911655,-0.990868247
3.47E+10,-4.393426015,-4.04767079,-6.005593999,-2.742446678,-6.556275712,-2.350426265,-10.20448522,-1.332379725,-9.640262716,-1.408435644,-12.77099664,-0.970967538
3.48E+10,-4.435033457,-4.053090698,-6.048613837,-2.575452734,-6.873657905,-2.315200285,-10.61940634,-1.378993818,-10.09795104,-1.448757703,-13.08997058,-0.952573798
3.49E+10,-4.540351709,-4.098594977,-5.987361828,-2.441190675,-6.976845869,-2.141539934,-11.33566568,-1.337640569,-10.69745026,-1.41181111,-13.41603444,-0.935794207
3.50E+10,-4.611726662,-4.127290646,-5.947778056,-2.358015669,-6.965645292,-2.009936976,-11.81543675,-1.212122742,-11.1100135,-1.275165334,-13.7492062,-0.920786751
3.51E+10,-4.614083278,-4.093915385,-5.94299885,-2.30435815,-6.984555957,-1.931269685,-12.06770823,-1.113902698,-11.39707646,-1.165748817,-14.08958807,-0.907783948
3.52E+10,-4.578705915,-4.122144582,-5.957968075,-2.267570721,-7.03230938,-1.877913638,-12.29659918,-1.052536544,-11.67671064,-1.097124904,-14.43750101,-0.897127495
3.53E+10,-4.60960535,-4.12453309,-5.981505095,-2.241430515,-7.094243809,-1.836503618,-12.53652668,-1.011662908,-11.96887824,-1.050306968,-14.7937629,-0.889316478
