W_50 [mm],Freq [GHz],"dB(S(1,1)) []","dB(S(2,1)) []",im(Gamma(1:1)) [],re(Gamma(1:1)) [],re(Zo(1:1)) [],"ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.5,59.55,-14.29144031,-9.374514032,1982.146785,5.6579203,129.8654872,89.86611202,147.884484
0.5,59.6,-14.13220159,-9.493845706,1984.477922,5.660849093,129.8302848,87.39170306,148.1595357
0.5,59.65,-13.97194682,-9.581278004,1986.808304,5.663781392,129.7952358,84.78690607,148.5727915
0.5,59.7,-13.81541238,-9.631462269,1989.137932,5.66671718,129.7603396,82.04522955,149.0875686
0.5,59.75,-13.66774488,-9.64037054,1991.466811,5.669656443,129.7255953,79.16953531,149.6562213
0.5,59.8,-13.53397292,-9.605903064,1993.794942,5.672599164,129.6910022,76.17321043,150.2230151
0.5,59.85,-13.41840397,-9.528299335,1996.122328,5.675545327,129.6565597,73.07974932,150.7286798
0.5,59.9,-13.32407676,-9.410236961,1998.448972,5.678494916,129.6222669,69.92056329,151.1158862
0.5,59.95,-13.25240365,-9.256580967,2000.774877,5.681447917,129.5881232,66.73136386,151.3345511
0.5,60,-13.20308764,-9.073842197,2003.100044,5.684404314,129.5541278,63.54792841,151.3459141
0.5,60.05,-13.17431604,-8.869474886,2005.424478,5.68736409,129.5202801,60.40222286,151.124729
0.5,60.1,-13.16315366,-8.651162952,2007.748179,5.690327232,129.4865792,57.31965405,150.6594782
0.5,60.15,-13.16601893,-8.426214912,2010.071152,5.693293724,129.4530245,54.31778501,149.9509827
0.5,60.2,-13.17913329,-8.201132288,2012.393398,5.696263551,129.4196154,51.40639712,149.0100206
0.5,60.25,-13.19887278,-7.981362899,2014.71492,5.699236698,129.3863511,48.58850045,147.8545658
0.5,60.3,-13.22199619,-7.771213885,2017.035721,5.702213149,129.3532309,45.86182046,146.5071156
0.5,60.35,-13.24575884,-7.573882927,2019.355803,5.705192892,129.3202541,43.22036858,144.9923933
0.5,60.4,-13.26793881,-7.391564658,2021.675169,5.70817591,129.2874201,40.6558457,143.3355426
0.5,60.45,-13.28680631,-7.225596139,2023.993821,5.711162189,129.2547282,38.15876218,141.5608245
0.5,60.5,-13.30106283,-7.076614839,2026.311762,5.714151715,129.2221777,35.71925396,139.690759
0.5,60.55,-13.30976902,-6.944711745,2028.628994,5.717144473,129.1897679,33.32762843,137.7456287
0.5,60.6,-13.31227342,-6.829569583,2030.94552,5.720140449,129.1574982,30.97469544,135.7432573
0.5,60.65,-13.30814854,-6.730581473,2033.261341,5.723139629,129.125368,28.65194051,133.6989842
0.5,60.7,-13.29713686,-6.646948851,2035.576462,5.726141998,129.0933764,26.35158988,131.6257707
0.5,60.75,-13.27910722,-6.577759637,2037.890883,5.729147544,129.061523,24.0666061,129.5343851
0.5,60.8,-13.25402077,-6.522048764,2040.204608,5.732156251,129.0298071,21.79064226,127.4336319
0.5,60.85,-13.22190514,-6.478843693,2042.517639,5.735168106,128.998228,19.51797438,125.3305954
0.5,60.9,-13.18283538,-6.44719757,2044.829979,5.738183095,128.966785,17.24342445,123.2308828
0.5,60.95,-13.13692035,-6.426212549,2047.141629,5.741201205,128.9354776,14.96228224,121.1388537
0.5,61,-13.08429339,-6.41505547,2049.452592,5.744222421,128.9043052,12.67023024,119.0578314
0.5,61.05,-13.02510639,-6.412967793,2051.76287,5.747246731,128.873267,10.36327411,116.9902933
0.5,61.1,-12.95952626,-6.419271292,2054.072467,5.750274121,128.8423624,8.037679852,114.9380387
0.5,61.15,-12.88773362,-6.433370746,2056.381383,5.753304578,128.811591,5.689917722,112.902338
0.5,61.2,-12.80992284,-6.454754568,2058.689622,5.756338088,128.7809519,3.316612677,110.8840634
0.5,61.25,-12.72630341,-6.482994072,2060.997186,5.759374638,128.7504447,0.914500973,108.8838042
0.5,61.3,-12.63710222,-6.517741902,2063.304078,5.762414216,128.7200687,-1.51960765,106.9019707
0.5,61.35,-12.54256667,-6.558729953,2065.610298,5.765456807,128.6898233,-3.988862646,104.938889
0.5,61.4,-12.44296835,-6.605766985,2067.915851,5.7685024,128.6597079,-6.496400572,102.9948898
0.5,61.45,-12.33860731,-6.658736006,2070.220737,5.771550981,128.6297219,-9.045368457,101.0703945
0.5,61.5,-12.22981679,-6.717591357,2072.52496,5.774602538,128.5998648,-11.63894271,99.1660015
0.5,61.55,-12.11696824,-6.782355334,2074.828522,5.777657058,128.5701358,-14.28034349,97.28257573
