W_50 [mm],Freq [GHz],"dB(S(1,1)) []","dB(S(2,1)) []",im(Gamma(1:1)) [],re(Gamma(1:1)) [],re(Zo(1:1)) [],"ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.5,57,-23.42670703,-1.732914609,1862.816096,5.515007316,132.3000655,-19.36192421,-118.7006159
0.5,57.05,-23.43743234,-1.742455886,1865.187069,5.517716822,132.2566933,-20.52837194,-120.3074371
0.5,57.1,-23.44751206,-1.75201768,1867.557124,5.520430744,132.2135213,-21.70976605,-121.9199078
0.5,57.15,-23.45683179,-1.76170802,1869.926267,5.52314906,132.1705483,-22.90463164,-123.5381264
0.5,57.2,-23.46524373,-1.771649005,1872.294499,5.525871746,132.1277733,-24.11106393,-125.1621894
0.5,57.25,-23.47255376,-1.781979301,1874.661826,5.52859878,132.0851952,-25.32663646,-126.7921812
0.5,57.3,-23.47850311,-1.792857044,1877.02825,5.531330141,132.042813,-26.54829373,-128.4281586
0.5,57.35,-23.48274243,-1.804463122,1879.393775,5.534065805,132.0006257,-27.77222868,-130.0701277
0.5,57.4,-23.48479525,-1.817004755,1881.758404,5.536805752,131.9586323,-28.99374936,-131.7180123
0.5,57.45,-23.48400644,-1.830719153,1884.12214,5.539549959,131.9168317,-30.20714528,-133.3716084
0.5,57.5,-23.47947005,-1.845876813,1886.484988,5.542298405,131.8752229,-31.40557663,-135.0305221
0.5,57.55,-23.46992945,-1.862783656,1888.84695,5.545051069,131.8338049,-32.58103053,-136.6940847
0.5,57.6,-23.45364148,-1.881780659,1891.20803,5.547807928,131.7925767,-33.72442506,-138.3612404
0.5,57.65,-23.42819734,-1.903238805,1893.568231,5.550568963,131.7515373,-34.82599992,-140.0304025
0.5,57.7,-23.39029816,-1.927546108,1895.927556,5.553334151,131.7106858,-35.87621938,-141.6992769
0.5,57.75,-23.33549896,-1.955082163,1898.286009,5.556103473,131.6700211,-36.86752731,-143.3646639
0.5,57.8,-23.25796888,-1.986174644,1900.643593,5.558876908,131.6295424,-37.79740551,-145.0222637
0.5,57.85,-23.15037923,-2.021032261,1903.000312,5.561654434,131.5892486,-38.67319897,-146.666543
0.5,57.9,-23.00412611,-2.059651705,1905.356167,5.564436033,131.5491387,-39.51886824,-148.290759
0.5,57.95,-22.81019116,-2.10170453,1907.711164,5.567221682,131.5092119,-40.38286251,-149.8872781
0.5,58,-22.56093929,-2.146425528,1910.065305,5.570011363,131.4694672,-41.34441117,-151.4483387
0.5,58.05,-22.2528633,-2.192545047,1912.418593,5.572805055,131.4299036,-42.51317477,-152.967337
0.5,58.1,-21.88958531,-2.23832355,1914.771031,5.575602739,131.3905202,-44.01644321,-154.4405179
0.5,58.15,-21.48358311,-2.281738064,1917.122622,5.578404395,131.3513162,-45.97210872,-155.8686481
0.5,58.2,-21.05496932,-2.3208204,1919.473371,5.581210003,131.3122905,-48.45508308,-157.2579813
0.5,58.25,-20.62696814,-2.354066061,1921.823279,5.584019543,131.2734424,-51.47339827,-158.6198749
