"W_50 [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1)) []","re(Gamma(1)) []","re(Zo(1)) []","ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.5,57,-11.6509685796922,-8.03963265544173,1923.7248754363,5.17310841100175,35.0762286684091,-7.51237749077773,70.5715156662123
0.5,57.05,-11.5696401796872,-8.06243213200455,1926.01978730802,5.17726001348157,35.0693286686135,-12.2462547660691,68.6279088544209
0.5,57.1,-11.5019954528218,-8.09397304694691,1928.31420962651,5.18141071296559,35.0624567865888,-16.9849317009657,66.6890441708019
0.5,57.15,-11.4469566934234,-8.13485340882764,1930.60814361741,5.18556051440469,35.0556131671428,-21.7261892105974,64.7608711758464
0.5,57.2,-11.4035226685002,-8.1856531332492,1932.90159050237,5.18970942272226,35.0487977412858,-26.4695661655068,62.8505493858205
0.5,57.25,-11.3708256234785,-8.24690491848975,1935.19455149902,5.19385744281435,35.0420103723442,-31.2161727920165,60.9666419325271
0.5,57.3,-11.348180013282,-8.31905358304451,1937.48702782099,5.19800457954984,35.0352508827521,-35.9684369268898,59.1193163974422
0.5,57.35,-11.3351218670136,-8.40240065725279,1939.77902067794,5.20215083777058,35.0285190211733,-40.7297979822078,57.3205377507113
0.5,57.4,-11.3314382063495,-8.49703067558762,1942.07053127559,5.20629622229153,35.0218142651978,-45.5043617206468,55.5842280477336
0.5,57.45,-11.337186190453,-8.60271566247561,1944.36156081569,5.21044073790095,35.0151420336022,-50.2965268447637,53.9263529456026
0.5,57.5,-11.3527016905985,-8.71879515533822,1946.65211049606,5.2145843893605,35.0084916850646,-55.1105927853674,52.3648755228118
0.5,57.55,-11.3785968854198,-8.84403140658034,1948.94218151063,5.21872718140544,35.0018692030752,-59.9503575421684,50.9194936347529
0.5,57.6,-11.4157463211676,-8.97644405031158,1951.23177504943,5.22286911874474,34.9952740099359,-64.818715323194,49.6110507605891
0.5,57.65,-11.465260824367,-9.11313656799798,1953.52089229859,5.22701020606123,34.9887057628795,-69.7172660724417,48.4604891185182
0.5,57.7,-11.5284488112846,-9.25013917388342,1955.80953444039,5.23115044801179,34.9821643002289,-74.6459524371602,47.4872121099325
0.5,57.75,-11.6067650147586,-9.38230897561153,1958.09770265327,5.23528984922743,34.9756485837084,-79.6027435901502,46.7067645550665
0.5,57.8,-11.7017475028069,-9.50334547401512,1960.38539811181,5.23942841431349,34.9691602974885,-84.583388500015,46.1278544918073
0.5,57.85,-11.8149450749524,-9.60599013468031,1962.6726219868,5.24356614784975,34.9626979316403,-89.5812623803013,45.7489549610906
0.5,57.9,-11.9478385645089,-9.68247024431901,1964.9593754452,5.2477030543906,34.9562615814718,-94.587327774342,45.5550298152538
