W_50 [mm],Freq [GHz],"dB(S(1,1)) []","dB(S(2,1)) []",im(Gamma(1)) [],re(Gamma(1)) [],re(Zo(1)) [],"ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.5,57,-24.85005486,-1.689214871,1863.415379,5.521157516,163.2569921,20.46688286,-98.53126019
0.5,57.05,-24.8585793,-1.710818057,1865.788855,5.52387309,163.206388,18.71325987,-100.0770071
0.5,57.1,-24.87109337,-1.728646276,1868.161411,5.526593087,163.1560319,16.90403144,-101.6106384
0.5,57.15,-24.88835653,-1.742888065,1870.533053,5.529317484,163.1059226,15.03627097,-103.1379566
0.5,57.2,-24.91128792,-1.753865841,1872.903783,5.532046259,163.0560588,13.10732566,-104.6642898
0.5,57.25,-24.94099501,-1.762021487,1875.273605,5.534779389,163.0064391,11.11507328,-106.1943579
0.5,57.3,-24.97880273,-1.767898386,1877.642522,5.537516852,162.9570623,9.058298287,-107.732154
0.5,57.35,-25.02627816,-1.772120228,1880.010539,5.540258626,162.9079271,6.937231425,-109.2808478
0.5,57.4,-25.08524234,-1.775367132,1882.377657,5.543004689,162.8590323,4.754306099,-110.8427139
0.5,57.45,-25.15775361,-1.778349903,1884.743881,5.545755019,162.8103766,2.515187007,-112.419092
0.5,57.5,-25.24603683,-1.781783443,1887.109215,5.548509593,162.7619587,0.230110114,-114.0103805
0.5,57.55,-25.35231914,-1.786360513,1889.473661,5.551268392,162.7137774,-2.084484961,-115.6160653
0.5,57.6,-25.47851677,-1.792727102,1891.837223,5.554031393,162.6658315,-4.404186551,-117.2347836
0.5,57.65,-25.62570701,-1.80146065,1894.199904,5.556798575,162.6181198,-6.695131123,-118.8644192
0.5,57.7,-25.79333171,-1.813052183,1896.561708,5.559569917,162.5706411,-8.913675962,-120.5022239
0.5,57.75,-25.97814698,-1.827893214,1898.922637,5.562345398,162.5233941,-11.00865334,-122.1449575
0.5,57.8,-26.17309815,-1.846267898,1901.282696,5.565124997,162.4763778,-12.92804249,-123.7890396
0.5,57.85,-26.36657096,-1.868350583,1903.641887,5.567908694,162.4295908,-14.63145617,-125.4307014
0.5,57.9,-26.5427398,-1.894208522,1906.000214,5.570696468,162.383032,-16.10758576,-127.0661324
0.5,57.95,-26.68369638,-1.923809205,1908.357681,5.573488299,162.3367002,-17.39142833,-128.6916108
0.5,58,-26.77333518,-1.957031501,1910.714289,5.576284166,162.2905944,-18.57199699,-130.3036139
0.5,58.05,-26.8017047,-1.993679677,1913.070042,5.57908405,162.2447133,-19.78226677,-131.8989026
0.5,58.1,-26.76769933,-2.033499264,1915.424945,5.58188793,162.1990558,-21.17215218,-133.4745778
0.5,58.15,-26.67866899,-2.0761938,1917.778999,5.584695787,162.1536207,-22.87659605,-135.0281062
0.5,58.2,-26.54741341,-2.121441489,1920.132208,5.587507601,162.108407,-24.99370108,-136.5573165
0.5,58.25,-26.38839703,-2.168910942,1922.484575,5.590323353,162.0634135,-27.57970202,-138.060365
0.5,58.3,-26.21485711,-2.218275145,1924.836103,5.593143023,162.0186391,-30.65714379,-139.5356697
0.5,58.35,-26.03741746,-2.269222732,1927.186796,5.595966591,161.9740828,-34.22822016,-140.9818133
0.5,58.4,-25.86394604,-2.321465334,1929.536656,5.59879404,161.9297433,-38.28697005,-142.3974113
0.5,58.45,-25.70010795,-2.374739164,1931.885687,5.601625349,161.8856196,-42.82766199,-143.7809418
