"W_50 [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1)) []","re(Gamma(1)) []","re(Zo(1)) []","ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.5,57,-23.3287632446057,-4.99912600452906,1883.8414862969,5.52228589388898,234.450019181015,-72.4180627998685,38.5917295106691
0.5,57.05,-24.1952546175388,-5.08052798117935,1886.22663110856,5.52503544980711,234.379346543376,-76.785008543405,37.4552011558293
0.5,57.1,-25.2103362309156,-5.14934961370883,1888.61086602487,5.52778932573716,234.30901660154,-80.6733484192371,36.3469408550323
0.5,57.15,-26.395958925135,-5.20611845572242,1890.99419451773,5.53054749950707,234.239027535743,-83.7788679388549,35.2470832788525
0.5,57.2,-27.771822518162,-5.25203315809166,1893.37662004027,5.53330994910314,234.169377539212,-85.6250933342298,34.1378223007677
0.5,57.25,-29.3412256310476,-5.28885523016367,1895.75814602694,5.5360766526685,234.100064818058,-85.4473031912294,33.0044141439368
0.5,57.3,-31.0471487275628,-5.31876648893372,1898.13877589368,5.53884758850178,234.03108759115,-82.0515820196515,31.835945317637
0.5,57.35,-32.6620987505128,-5.34420422310027,1900.51851303803,5.54162273505566,233.962444090007,-73.9405538121631,30.625818862902
0.5,57.4,-33.6613992933878,-5.36768693622087,1902.89736083928,5.54440207093549,233.894132558683,-60.7648921492855,29.3719398476109
0.5,57.45,-33.5222692542849,-5.39164297823248,1905.27532265856,5.54718557489789,233.82615125365,-46.0097343863744,28.0766059344572
0.5,57.5,-32.4262196853848,-5.41825287875055,1907.65240183903,5.54997322584946,233.758498443695,-34.8395823504965,26.7461287139462
0.5,57.55,-30.9775413240438,-5.44931421669551,1910.02860170593,5.55276500284537,233.691172409803,-28.7957913544559,25.3902258161099
0.5,57.6,-29.5553691513371,-5.48613572346656,1912.40392556681,5.55556088508806,233.624171445051,-26.7040310780437,24.0212333191132
0.5,57.65,-28.2856513225504,-5.5294651795334,1914.77837671153,5.55836085192593,233.557493854502,-27.1657838413628,22.6531937481693
0.5,57.7,-27.1853247268987,-5.57945357108754,1917.1519584125,5.56116488285201,233.491137955096,-29.2262640007312,21.3008778015214
0.5,57.75,-26.2380291056957,-5.63565593462455,1919.52467392473,5.5639729575027,233.425102075545,-32.3018631473396,19.9787981757005
0.5,57.8,-25.4207769584698,-5.69706736648122,1921.89652648597,5.56678505565651,233.359384556231,-36.0379875544343,18.7002715342083
0.5,57.85,-24.711958179005,-5.762190877962,1924.26751931684,5.56960115723275,233.2939837491,-40.2139922356204,17.4765798492112
0.5,57.9,-24.0932226253822,-5.82913220764024,1926.63765562096,5.57242124229034,233.228898017562,-44.6882335313304,16.3162753349648
0.5,57.95,-23.5494978458179,-5.89571540733716,1929.00693858503,5.57524529102654,233.164125736391,-49.3668511197003,15.2246644328446
0.5,58,-23.0685200955191,-5.95961200860723,1931.37537137898,5.57807328377576,233.099665291623,-54.1856985677283,14.2034961936472
0.5,58.05,-22.6403092744061,-6.01847585333175,1933.74295715609,5.58090520100831,233.035515080457,-59.0995809109821,13.2508690878399
0.5,58.1,-22.2567087258855,-6.07007526921704,1936.10969905307,5.58374102332927,232.97167351116,-64.0756526612484,12.3613577014747
0.5,58.15,-21.9110113399145,-6.11241428588972,1938.47560019022,5.58658073147742,232.908139002968,-69.0892584679091,11.5263469582102
0.5,58.2,-21.5976638275561,-6.14383516867908,1940.84066367155,5.58942430632331,232.844909985992,-74.1212538057605,10.7345469445937
